case,variant,notes
ex238,sign_only,sign_bit=base_exact
ex238,mag_b11_t4,sign_bit=base_exact; bits=11; threshold=4; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,mag_b11_t8,sign_bit=base_exact; bits=11; threshold=8; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,mag_b10_t4,sign_bit=base_exact; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,mag_b10_t8,sign_bit=base_exact; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,mag_b9_t8,sign_bit=base_exact; bits=9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,mag_b9_t16,sign_bit=base_exact; bits=9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,mag_b11_10_t8,"sign_bit=base_exact; bits=11,10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4"
ex238,mag_b11_10_9_t8,"sign_bit=base_exact; bits=11,10,9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,mag_b11_10_9_t16,"sign_bit=base_exact; bits=11,10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,manual_b10_9_shared_if,"manual_b10_9_shared_if; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase"
ex238,manual_b10_9_seg_phase,"manual_b10_9_seg_phase; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase"
ex238,separate_b10_9_t4_t8,separate_b10_9_t4_t8; separate bit covers; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4; bits=9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,separate_b10_9_t8_t8,separate_b10_9_t8_t8; separate bit covers; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4; bits=9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,separate_b10_9_t8_t16,separate_b10_9_t8_t16; separate bit covers; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4; bits=9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,mag_b10_9_t16,"sign_bit=base_exact; bits=10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,mag_b9_8_t16,"sign_bit=base_exact; bits=9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=133; table_items=0; max_runs=13"
ex238,mag_b10_8_t16,"sign_bit=base_exact; bits=10,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b10_9_8_t8,"sign_bit=base_exact; bits=10,9,8; threshold=8; const_groups=20; range_groups=2; table_groups=10; range_items=7; table_items=10240; max_runs=13"
ex238,mag_b10_9_8_t12,"sign_bit=base_exact; bits=10,9,8; threshold=12; const_groups=20; range_groups=3; table_groups=9; range_items=17; table_items=9216; max_runs=13"
ex238,mag_b10_9_8_t16,"sign_bit=base_exact; bits=10,9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b10_9_8_t24,"sign_bit=base_exact; bits=10,9,8; threshold=24; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b10_9_8_t32,"sign_bit=base_exact; bits=10,9,8; threshold=32; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b10_9_8_7_t16,"sign_bit=base_exact; bits=10,9,8,7; threshold=16; const_groups=20; range_groups=2; table_groups=10; range_items=11; table_items=10240; max_runs=25"
ex238,mag_b10_9_8_7_t24,"sign_bit=base_exact; bits=10,9,8,7; threshold=24; const_groups=20; range_groups=3; table_groups=9; range_items=29; table_items=9216; max_runs=25"
ex238,mag_b10_9_8_7_t32,"sign_bit=base_exact; bits=10,9,8,7; threshold=32; const_groups=20; range_groups=12; table_groups=0; range_items=254; table_items=0; max_runs=25"
ex238,mag_b12_10_9_8_t16,"sign_bit=base_exact; bits=12,10,9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b14_13_12_10_9_8_t16,"sign_bit=base_exact; bits=14,13,12,10,9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,mag_b11_10_9_8_t16,"sign_bit=base_exact; bits=11,10,9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
