case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_hi2_resid_shift_abc_g_aig,1,89,29,2581,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_shift_wreduce_abc_g_aig,1,89,29,2581,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset,1,88,31,2728,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d8,1,88,31,2728,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d10,1,88,31,2728,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d12,1,88,31,2728,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d12
ex266,ex266_udiv_ex266_hi2_resid_shift_arith_wreduce_aig,1,93,30,2790,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_arith_wreduce_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=arith_wreduce_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_abc_g_aig,1,97,26,2522,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_wreduce_abc_g_aig,1,101,26,2626,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset,1,96,27,2592,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d8,1,96,27,2592,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d10,1,96,27,2592,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d12,1,96,27,2592,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d12
ex266,ex266_udiv_ex266_hi3_resid_shift_arith_wreduce_aig,1,104,26,2704,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_arith_wreduce_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=arith_wreduce_aig
