round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv
round82,frontend_radical_parallel_round82_20260613_2022,sub-fp16-log-r82,ex225,ex225_log_nested_low12_hi4_abc_g_aig,1,11278,20,225560,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp16-log-r82/ex225/verilog/ex225_log_nested_low12_hi4.v,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp16-log-r82/ex225/aigs/ex225_log_nested_low12_hi4_abc_g_aig.aig,student/runs/fp16/frontend_radical_parallel_round82_20260613_2022/sub-fp16-log-r82/ex225/official_logs/ex225_r82_log_nested_low12_hi4_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp16-log-r82/evaluation_results.csv
82,frontend_radical_parallel_round82_20260613_2022,sub-fp8-threshold-r82,ex247,ex247_r82_frontend_best_anchor,1,317,23,7291,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp8-threshold-r82/ex247/verilog/ex247_r82_frontend_best_anchor.v,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp8-threshold-r82/ex247/aigs/ex247_r82_frontend_best_anchor.aig,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp8-threshold-r82/ex247/logs/ex247_r82_frontend_best_anchor.evaluate.py.log,OK,Official evaluate.py --case ex247 inside r82 shard output.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp8-threshold-r82/evaluation_results.csv
82,frontend_radical_parallel_round82_20260613_2022,sub-integer-tight-r82,ex260,ex260_r82_signed_digit_accum_abc_g_aig,1,106,17,1802,student/work/frontend_radical_parallel_round82_20260613_2022/sub-integer-tight-r82/ex260/verilog/ex260_r82_signed_digit_accum.v,student/work/frontend_radical_parallel_round82_20260613_2022/sub-integer-tight-r82/ex260/aigs/ex260_r82_signed_digit_accum_abc_g_aig.aig,student/runs/integer/frontend_radical_parallel_round82_20260613_2022/sub-integer-tight-r82/ex260/official_eval/ex260_r82_signed_digit_accum_abc_g_aig/ex260_r82_signed_digit_accum_abc_g_aig.evaluate.py.log,OK,"minimal r82 row; signed radix-2 digit accumulation, not keep/common-wire boundary replay",student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-integer-tight-r82/evaluation_results.csv
