case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature
ex223,ex223_r71_po_low10_hi5_thresholds_abc_g_aig,OK,1,10800,19,205200,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/verilog/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20,official_ok,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low10_hi5_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log,11.823,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,fp16,ex223|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds
ex223,ex223_r71_po_low8_hi4_thresholds_abc_g_aig,OK,1,10872,20,217440,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/verilog/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20; b9 runs=82 max=19 const_groups=16; b8 runs=125 max=34 const_groups=9,official_ok,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low8_hi4_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log,13.415,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,fp16,ex223|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds
ex225,ex225_r71_po_low10_hi5_thresholds_abc_g_aig,OK,1,11583,19,220077,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/verilog/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20,official_ok,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low10_hi5_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log,13.623,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,fp16,ex225|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds
ex225,ex225_r71_po_low8_hi4_thresholds_abc_g_aig,OK,1,11459,20,229180,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/verilog/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20; b9 runs=83 max=20 const_groups=14; b8 runs=126 max=35 const_groups=8,official_ok,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low8_hi4_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log,12.839,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,fp16,ex225|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds
ex260,ex260_r71_qmc_all_bits_abc_g_aig,OK,1,250,10,2500,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/verilog/ex260_r71_qmc_all_bits_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_qmc_all_bits_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_qmc_all_bits_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,b0_cubes=1; b1_cubes=4; b2_cubes=9; b3_cubes=30; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,official_ok,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_qmc_all_bits_abc_g_aig,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_qmc_all_bits_abc_g_aig.evaluate.py.log,0.426,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,integer,ex260|minimal_Boolean-optimized_signed_4x4_product|per-output_QMC_cube_equations_over_all_product_bits|shared_input_literals_only;_no_Baugh/native_multiplier_replay|abc_g_aig|abc_xf_official_evaluate|r71_qmc_all_bits
ex260,ex260_r71_high_qmc_low_columns_abc_g_aig,OK,1,172,10,1720,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/verilog/ex260_r71_high_qmc_low_columns_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_high_qmc_low_columns_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_high_qmc_low_columns_abc_g_aig.yosys.log,sub-fp16-int-hybrid-r71,low4 truncated unsigned column rows; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,official_ok,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_high_qmc_low_columns_abc_g_aig,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_high_qmc_low_columns_abc_g_aig.evaluate.py.log,0.415,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,integer,ex260|output-bit_hybrid_signed_product|low_nibble_truncated_column_rows_plus_high-bit_QMC_equations|low-column_partial_products_reused;_high_bits_independent_minimized_covers|abc_g_aig|abc_xf_official_evaluate|r71_high_qmc_low_columns
ex266,ex266_r71_restore_unrolled_guarded_synth_preset_d18,OK,1,89,29,2581,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/verilog/ex266_r71_restore_unrolled_guarded_synth_preset_d18.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_restore_unrolled_guarded_synth_preset_d18.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_restore_unrolled_guarded_synth_preset_d18.yosys.log,sub-fp16-int-hybrid-r71,unrolled restoring divider with dbz saturation and b>a guard,official_ok,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_restore_unrolled_guarded_synth_preset_d18,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_restore_unrolled_guarded_synth_preset_d18.evaluate.py.log,0.473,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,integer,ex266|restoring_division_FSM_unrolled_as_combinational_source|guarded_restoring_remainder/quotient_loop|shared_serial_remainder_subtract_path_and_dbz_guard|synth_preset_d18|abc_xf_official_evaluate|r71_restore_unrolled_guarded
ex266,ex266_r71_high_sop_low_restore_synth_preset_d18,OK,1,91,30,2730,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/verilog/ex266_r71_high_sop_low_restore_synth_preset_d18.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_high_sop_low_restore_synth_preset_d18.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_high_sop_low_restore_synth_preset_d18.yosys.log,sub-fp16-int-hybrid-r71,unrolled restoring divider with dbz saturation and b>a guard; q3_cubes=4; q4_cubes=2,official_ok,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_high_sop_low_restore_synth_preset_d18,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_high_sop_low_restore_synth_preset_d18.evaluate.py.log,0.520,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/evaluation_results.csv,integer,ex266|source-level_PO_hybrid_quotient_bits|QMC_q4/q3_predicates_plus_restoring_low_quotient_bits|high_quotient_SOP_shares_literal_covers;_low_bits_share_restoring_remainder|synth_preset_d18|abc_xf_official_evaluate|r71_high_sop_low_restore
ex240,ex240_r71_po_high_low2_residual,OK,1,7212,38,274056,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_po_high_low2_residual.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_po_high_low2_residual.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=18.615; eval_sec=0.905; frontend_best=26230; current=21046; reference=13299,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/official_output/ex240_r71_po_high_low2_residual,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log,0.905,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex240|E4M3FN packed add|source-level PO split with high/sign plane plus low2 residual LUT|shared sorted field decode; active same/diff residuals split into high and low magnitude planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes
ex240,ex240_r71_signed_delta_csa_adjust,OK,1,2727,50,136350,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_signed_delta_csa_adjust.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_signed_delta_csa_adjust.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=12.116; eval_sec=0.870; frontend_best=26230; current=21046; reference=13299,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/official_output/ex240_r71_signed_delta_csa_adjust,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log,0.870,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex240|E4M3FN packed add|carry-save-style signed magnitude adjustment from max operand|shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word
