case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_bilinear_rank_anf_prefix_parity_reduce_mid4,1202,31,37262,2415,15.429400,16821,20441,0,prefix_parity_reduce_mid4,transform=prefix_parity_reduce; split=mid4; a_bits=4:5:6:7; b_width=8; rank_sum=51; rank_max=7; unique_a=28; unique_b=39; a_terms=168; b_terms=494; anf_terms=932; hash=d07a783a0edc,unknown bilinear-rank ANF Verilog seed
ex284,ex284_unknown_bilinear_rank_anf_prefix_parity_reduce_inter6,2400,38,91200,4240,21.509434,37791,53409,0,prefix_parity_reduce_inter6,transform=prefix_parity_reduce; split=inter6; a_bits=0:15:1:14:2:13; b_width=10; rank_sum=64; rank_max=7; unique_a=41; unique_b=42; a_terms=420; b_terms=909; anf_terms=1964; hash=f5379b444a4d,unknown bilinear-rank ANF Verilog seed
