case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex255,ex255_umul_direct,low4_high4:a*b,direct,student/work/reverse_integer_variants/ex255/verilog/ex255_umul_direct.v,student/work/reverse_integer_variants/ex255/aigs/ex255_umul_direct.aig,1,1,1,97,16,1552,0.199,integer Verilog seed
ex255,ex255_umul_shift_add,low4_high4:a*b,shift_add,student/work/reverse_integer_variants/ex255/verilog/ex255_umul_shift_add.v,student/work/reverse_integer_variants/ex255/aigs/ex255_umul_shift_add.aig,1,1,1,102,24,2448,0.216,integer Verilog seed
ex255,ex255_umul_partial_products,low4_high4:a*b,partial_products,student/work/reverse_integer_variants/ex255/verilog/ex255_umul_partial_products.v,student/work/reverse_integer_variants/ex255/aigs/ex255_umul_partial_products.aig,1,1,1,85,21,1785,0.215,integer Verilog seed
ex256,ex256_umul_direct,low5_high5:a*b,direct,student/work/reverse_integer_variants/ex256/verilog/ex256_umul_direct.v,student/work/reverse_integer_variants/ex256/aigs/ex256_umul_direct.aig,1,1,1,171,24,4104,0.226,integer Verilog seed
ex256,ex256_umul_shift_add,low5_high5:a*b,shift_add,student/work/reverse_integer_variants/ex256/verilog/ex256_umul_shift_add.v,student/work/reverse_integer_variants/ex256/aigs/ex256_umul_shift_add.aig,1,1,1,207,35,7245,0.254,integer Verilog seed
ex256,ex256_umul_partial_products,low5_high5:a*b,partial_products,student/work/reverse_integer_variants/ex256/verilog/ex256_umul_partial_products.v,student/work/reverse_integer_variants/ex256/aigs/ex256_umul_partial_products.aig,1,1,1,145,29,4205,0.226,integer Verilog seed
ex257,ex257_umul_direct,low6_high6:a*b,direct,student/work/reverse_integer_variants/ex257/verilog/ex257_umul_direct.v,student/work/reverse_integer_variants/ex257/aigs/ex257_umul_direct.aig,1,1,1,261,28,7308,0.260,integer Verilog seed
ex257,ex257_umul_shift_add,low6_high6:a*b,shift_add,student/work/reverse_integer_variants/ex257/verilog/ex257_umul_shift_add.v,student/work/reverse_integer_variants/ex257/aigs/ex257_umul_shift_add.aig,1,1,1,315,45,14175,0.299,integer Verilog seed
ex257,ex257_umul_partial_products,low6_high6:a*b,partial_products,student/work/reverse_integer_variants/ex257/verilog/ex257_umul_partial_products.v,student/work/reverse_integer_variants/ex257/aigs/ex257_umul_partial_products.aig,1,1,1,222,37,8214,0.267,integer Verilog seed
ex258,ex258_umul_direct,low7_high7:a*b,direct,student/work/reverse_integer_variants/ex258/verilog/ex258_umul_direct.v,student/work/reverse_integer_variants/ex258/aigs/ex258_umul_direct.aig,1,1,1,392,35,13720,0.462,integer Verilog seed
