case,baseline_area,baseline_delay,baseline_adp,best_candidate_id,best_flow,best_area,best_delay,best_adp,improvement_percent,num_candidates,num_equivalent,best_aig_path
ex283,15397,38,585086,ex283_abc_dch_dc2,abc_dch_dc2,11276,20,225520,61.46,17,17,student/work/best/abc_all_full_20260602_1524/ex283.aig
ex284,20683,38,785954,ex284_abc_dch_dc2,abc_dch_dc2,15300,21,321300,59.12,17,17,student/work/best/abc_all_full_20260602_1524/ex284.aig
ex285,8915,27,240705,ex285_abc_dc2_dch,abc_dc2_dch,6356,16,101696,57.75,17,17,student/work/best/abc_all_full_20260602_1524/ex285.aig
ex286,11289,27,304803,ex286_abc_dc2_dch,abc_dc2_dch,7886,17,134062,56.02,17,17,student/work/best/abc_all_full_20260602_1524/ex286.aig
ex287,21536,31,667616,ex287_abc_dch_dc2,abc_dch_dc2,14913,18,268434,59.79,17,17,student/work/best/abc_all_full_20260602_1524/ex287.aig
ex288,35493,32,1135776,ex288_abc_dc2_dch,abc_dc2_dch,24328,19,462232,59.30,17,17,student/work/best/abc_all_full_20260602_1524/ex288.aig
ex289,46977,33,1550241,ex289_abc_dc2_dch,abc_dc2_dch,31337,19,595403,61.59,17,17,student/work/best/abc_all_full_20260602_1524/ex289.aig
ex290,14895,30,446850,ex290_abc_dc2_dch,abc_dc2_dch,10649,17,181033,59.49,17,17,student/work/best/abc_all_full_20260602_1524/ex290.aig
ex291,22942,29,665318,ex291_abc_dc2_dch,abc_dc2_dch,16020,18,288360,56.66,17,17,student/work/best/abc_all_full_20260602_1524/ex291.aig
ex292,33699,31,1044669,ex292_abc_dc2_dch,abc_dc2_dch,23171,18,417078,60.08,17,17,student/work/best/abc_all_full_20260602_1524/ex292.aig
ex293,46739,31,1448909,ex293_abc_dc2_dch,abc_dc2_dch,31361,19,595859,58.88,17,17,student/work/best/abc_all_full_20260602_1524/ex293.aig
ex294,61486,37,2274982,ex294_abc_dc2_dch,abc_dc2_dch,40022,20,800440,64.82,17,17,student/work/best/abc_all_full_20260602_1524/ex294.aig
ex295,26527,34,901918,ex295_abc_dc2_dch,abc_dc2_dch,19373,18,348714,61.34,17,17,student/work/best/abc_all_full_20260602_1524/ex295.aig
ex296,31804,36,1144944,ex296_abc_dc2_dch,abc_dc2_dch,22785,19,432915,62.19,17,17,student/work/best/abc_all_full_20260602_1524/ex296.aig
ex297,113640,53,6022920,ex297_abc_dc2_dch,abc_dc2_dch,81731,21,1716351,71.50,17,17,student/work/best/abc_all_full_20260602_1524/ex297.aig
ex298,132341,56,7411096,ex298_abc_dc2_dch,abc_dc2_dch,93156,21,1956276,73.60,17,17,student/work/best/abc_all_full_20260602_1524/ex298.aig
ex299,472167,71,33523857,ex299_abc_dc2_dch,abc_dc2_dch,333372,24,8000928,76.13,17,17,student/work/best/abc_all_full_20260602_1524/ex299.aig
