case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex260,ex260_abc_resyn3,ex260_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_resyn3/ex260_abc_resyn3.aig,297,14,4158,1,0.137,abc portfolio flow
ex260,ex260_abc_compress2,ex260_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_compress2/ex260_abc_compress2.aig,267,13,3471,1,0.165,abc portfolio flow
ex260,ex260_abc_resyn2rs,ex260_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_resyn2rs/ex260_abc_resyn2rs.aig,252,12,3024,1,0.195,abc portfolio flow
ex260,ex260_abc_compress2rs,ex260_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_compress2rs/ex260_abc_compress2rs.aig,259,13,3367,1,0.195,abc portfolio flow
ex260,ex260_abc_dc2,ex260_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dc2/ex260_abc_dc2.aig,259,12,3108,1,0.138,abc portfolio flow
ex260,ex260_abc_dch,ex260_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dch/ex260_abc_dch.aig,257,11,2827,1,0.177,abc portfolio flow
ex260,ex260_abc_dc2_dch,ex260_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dc2_dch/ex260_abc_dc2_dch.aig,246,11,2706,1,0.153,abc portfolio flow
ex260,ex260_abc_dch_dc2,ex260_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dch_dc2/ex260_abc_dch_dc2.aig,252,10,2520,1,0.154,abc portfolio flow
ex260,ex260_abc_dc2_rw,ex260_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dc2_rw/ex260_abc_dc2_rw.aig,253,12,3036,1,0.164,abc portfolio flow
ex260,ex260_abc_dch_rw,ex260_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_dch_rw/ex260_abc_dch_rw.aig,255,10,2550,1,0.172,abc portfolio flow
ex260,ex260_abc_src_rw,ex260_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_src_rw/ex260_abc_src_rw.aig,281,15,4215,1,0.163,abc portfolio flow
ex260,ex260_abc_src_rws,ex260_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_src_rws/ex260_abc_src_rws.aig,264,17,4488,1,0.183,abc portfolio flow
ex260,ex260_abc_delay_try,ex260_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex260/abc_delay_try/ex260_abc_delay_try.aig,253,12,3036,1,0.167,abc portfolio flow
ex261,ex261_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex261.aig,1419,23,32637,1,0.101,from baseline directory
ex261,ex261_abc_resyn,ex261_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_resyn/ex261_abc_resyn.aig,1113,17,18921,1,0.181,abc portfolio flow
ex261,ex261_abc_resyn2,ex261_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_resyn2/ex261_abc_resyn2.aig,1063,16,17008,1,0.192,abc portfolio flow
ex261,ex261_abc_resyn2a,ex261_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_resyn2a/ex261_abc_resyn2a.aig,1113,17,18921,1,0.180,abc portfolio flow
ex261,ex261_abc_resyn3,ex261_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_resyn3/ex261_abc_resyn3.aig,1072,18,19296,1,0.179,abc portfolio flow
ex261,ex261_abc_compress2,ex261_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_compress2/ex261_abc_compress2.aig,1063,17,18071,1,0.192,abc portfolio flow
ex261,ex261_abc_resyn2rs,ex261_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_resyn2rs/ex261_abc_resyn2rs.aig,931,17,15827,1,0.401,abc portfolio flow
ex261,ex261_abc_compress2rs,ex261_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_compress2rs/ex261_abc_compress2rs.aig,930,17,15810,1,0.398,abc portfolio flow
ex261,ex261_abc_dc2,ex261_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dc2/ex261_abc_dc2.aig,1085,15,16275,1,0.173,abc portfolio flow
ex261,ex261_abc_dch,ex261_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dch/ex261_abc_dch.aig,1064,14,14896,1,0.219,abc portfolio flow
ex261,ex261_abc_dc2_dch,ex261_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dc2_dch/ex261_abc_dc2_dch.aig,1042,14,14588,1,0.227,abc portfolio flow
ex261,ex261_abc_dch_dc2,ex261_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dch_dc2/ex261_abc_dch_dc2.aig,1052,14,14728,1,0.238,abc portfolio flow
ex261,ex261_abc_dc2_rw,ex261_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dc2_rw/ex261_abc_dc2_rw.aig,1052,15,15780,1,0.203,abc portfolio flow
ex261,ex261_abc_dch_rw,ex261_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_dch_rw/ex261_abc_dch_rw.aig,1048,14,14672,1,0.244,abc portfolio flow
ex261,ex261_abc_src_rw,ex261_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_src_rw/ex261_abc_src_rw.aig,1126,22,24772,1,0.178,abc portfolio flow
ex261,ex261_abc_src_rws,ex261_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_src_rws/ex261_abc_src_rws.aig,981,23,22563,1,0.313,abc portfolio flow
ex261,ex261_abc_delay_try,ex261_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex261/abc_delay_try/ex261_abc_delay_try.aig,1059,15,15885,1,0.213,abc portfolio flow
ex262,ex262_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex262.aig,5500,29,159500,1,0.138,from baseline directory
ex262,ex262_abc_resyn,ex262_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_resyn/ex262_abc_resyn.aig,4288,20,85760,1,0.269,abc portfolio flow
ex262,ex262_abc_resyn2,ex262_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_resyn2/ex262_abc_resyn2.aig,4196,20,83920,1,0.315,abc portfolio flow
ex262,ex262_abc_resyn2a,ex262_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_resyn2a/ex262_abc_resyn2a.aig,4304,20,86080,1,0.284,abc portfolio flow
