case,domain,parent_candidate_id,parent_area,parent_delay,parent_adp,source_seed_csv,parent_aig_path,source,tool_chain,candidate_id,equivalent,area,delay,adp,delta_adp,pct_adp_change,runtime_sec,work_deleted,notes
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,seed,seed,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,1,3717,17,63189,0,0.000000,0.632,1,primary current seed baseline
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_resyn,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_resyn,1,3687,16,58992,-4197,-6.641979,0.755,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_resyn2,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_resyn2,1,3680,16,58880,-4309,-6.819225,0.792,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_resyn2a,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_resyn2a,1,3689,16,59024,-4165,-6.591337,0.764,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_resyn3,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_resyn3,1,3685,16,58960,-4229,-6.692621,0.822,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_compress2,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_compress2,1,3678,17,62526,-663,-1.049233,0.798,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_resyn2rs,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_resyn2rs,1,3644,16,58304,-4885,-7.730776,1.416,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_compress2rs,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_compress2rs,1,3643,18,65574,2385,3.774391,1.408,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_dc2,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_dc2,1,3658,16,58528,-4661,-7.376284,0.784,1,blind current-seed ABC probe
ex200,bf16,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,student/seeds/bf16/ex200_ex219_current/results/best.csv,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,abc,abc_dch,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation_abc_dch,1,3660,16,58560,-4629,-7.325642,1.075,1,blind current-seed ABC probe
