case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,notes
ex255,ex255_umul_direct,low4_high4:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex255/verilog/ex255_umul_direct.v,student/work/best/integer_verilog/ex255.aig,97,16,1552,integer Verilog seed
ex256,ex256_umul_direct,low5_high5:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex256/verilog/ex256_umul_direct.v,student/work/best/integer_verilog/ex256.aig,171,24,4104,integer Verilog seed
ex257,ex257_umul_direct,low6_high6:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex257/verilog/ex257_umul_direct.v,student/work/best/integer_verilog/ex257.aig,261,28,7308,integer Verilog seed
ex258,ex258_umul_direct,low7_high7:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex258/verilog/ex258_umul_direct.v,student/work/best/integer_verilog/ex258.aig,392,35,13720,integer Verilog seed
ex259,ex259_umul_direct,low8_high8:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex259/verilog/ex259_umul_direct.v,student/work/best/integer_verilog/ex259.aig,506,38,19228,integer Verilog seed
ex260,ex260_smul_direct,low4_high4:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex260/verilog/ex260_smul_direct.v,student/work/best/integer_verilog/ex260.aig,168,18,3024,integer Verilog seed
ex261,ex261_smul_direct,low5_high5:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex261/verilog/ex261_smul_direct.v,student/work/best/integer_verilog/ex261.aig,316,26,8216,integer Verilog seed
ex262,ex262_smul_direct,low6_high6:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex262/verilog/ex262_smul_direct.v,student/work/best/integer_verilog/ex262.aig,465,27,12555,integer Verilog seed
ex263,ex263_smul_direct,low7_high7:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex263/verilog/ex263_smul_direct.v,student/work/best/integer_verilog/ex263.aig,636,35,22260,integer Verilog seed
ex264,ex264_smul_direct,low8_high8:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex264/verilog/ex264_smul_direct.v,student/work/best/integer_verilog/ex264.aig,828,38,31464,integer Verilog seed
ex265,ex265_udiv_direct,low4_high4:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex265/verilog/ex265_udiv_direct.v,student/work/best/integer_verilog/ex265.aig,54,18,972,integer Verilog seed
ex266,ex266_udiv_direct,low5_high5:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex266/verilog/ex266_udiv_direct.v,student/work/best/integer_verilog/ex266.aig,105,28,2940,integer Verilog seed
ex267,ex267_udiv_direct,low6_high6:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex267/verilog/ex267_udiv_direct.v,student/work/best/integer_verilog/ex267.aig,159,40,6360,integer Verilog seed
ex268,ex268_udiv_direct,low7_high7:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex268/verilog/ex268_udiv_direct.v,student/work/best/integer_verilog/ex268.aig,227,65,14755,integer Verilog seed
ex269,ex269_udiv_direct,low8_high8:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex269/verilog/ex269_udiv_direct.v,student/work/best/integer_verilog/ex269.aig,314,78,24492,integer Verilog seed
ex270,ex270_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex270/verilog/ex270_square_direct.v,student/work/best/integer_verilog/ex270.aig,312,36,11232,integer Verilog seed
ex271,ex271_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex271/verilog/ex271_square_direct.v,student/work/best/integer_verilog/ex271.aig,664,40,26560,integer Verilog seed
ex272,ex272_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex272/verilog/ex272_square_direct.v,student/work/best/integer_verilog/ex272.aig,923,46,42458,integer Verilog seed
ex273,ex273_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex273/verilog/ex273_square_direct.v,student/work/best/integer_verilog/ex273.aig,1308,61,79788,integer Verilog seed
ex274,ex274_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex274/verilog/ex274_square_direct.v,student/work/best/integer_verilog/ex274.aig,1846,72,132912,integer Verilog seed
ex275,ex275_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex275/verilog/ex275_isqrt_direct.v,student/work/best/integer_verilog/ex275.aig,42,15,630,integer Verilog seed
ex276,ex276_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex276/verilog/ex276_isqrt_direct.v,student/work/best/integer_verilog/ex276.aig,102,28,2856,integer Verilog seed
ex277,ex277_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex277/verilog/ex277_isqrt_direct.v,student/work/best/integer_verilog/ex277.aig,225,55,12375,integer Verilog seed
ex278,ex278_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex278/verilog/ex278_isqrt_direct.v,student/work/best/integer_verilog/ex278.aig,511,86,43946,integer Verilog seed
ex279,ex279_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex279/verilog/ex279_isqrt_direct.v,student/work/best/integer_verilog/ex279.aig,731,125,91375,integer Verilog seed
