case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex255,ex255_umul_direct,low4_high4:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex255/verilog/ex255_umul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex255/aigs/ex255_umul_direct.aig,1,1,1,97,16,1552,0.214,integer Verilog seed
ex256,ex256_umul_direct,low5_high5:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex256/verilog/ex256_umul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex256/aigs/ex256_umul_direct.aig,1,1,1,171,24,4104,0.226,integer Verilog seed
ex257,ex257_umul_direct,low6_high6:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex257/verilog/ex257_umul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex257/aigs/ex257_umul_direct.aig,1,1,1,261,28,7308,0.259,integer Verilog seed
ex258,ex258_umul_direct,low7_high7:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex258/verilog/ex258_umul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex258/aigs/ex258_umul_direct.aig,1,1,1,392,35,13720,0.459,integer Verilog seed
ex259,ex259_umul_direct,low8_high8:a*b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex259/verilog/ex259_umul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex259/aigs/ex259_umul_direct.aig,1,1,1,506,38,19228,1.975,integer Verilog seed
ex260,ex260_smul_direct,low4_high4:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex260/verilog/ex260_smul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex260/aigs/ex260_smul_direct.aig,1,1,1,168,18,3024,0.261,integer Verilog seed
ex261,ex261_smul_direct,low5_high5:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex261/verilog/ex261_smul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex261/aigs/ex261_smul_direct.aig,1,1,1,316,26,8216,0.284,integer Verilog seed
ex262,ex262_smul_direct,low6_high6:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex262/verilog/ex262_smul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex262/aigs/ex262_smul_direct.aig,1,1,1,465,27,12555,0.373,integer Verilog seed
ex263,ex263_smul_direct,low7_high7:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex263/verilog/ex263_smul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex263/aigs/ex263_smul_direct.aig,1,1,1,636,35,22260,0.649,integer Verilog seed
ex264,ex264_smul_direct,low8_high8:signed_a*signed_b,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex264/verilog/ex264_smul_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex264/aigs/ex264_smul_direct.aig,1,1,1,828,38,31464,2.488,integer Verilog seed
ex265,ex265_udiv_direct,low4_high4:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex265/verilog/ex265_udiv_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex265/aigs/ex265_udiv_direct.aig,1,1,1,54,18,972,0.262,integer Verilog seed
ex266,ex266_udiv_direct,low5_high5:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex266/verilog/ex266_udiv_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex266/aigs/ex266_udiv_direct.aig,1,1,1,105,28,2940,0.289,integer Verilog seed
