case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,notes
ex255,ex255_umul_direct,low4_high4:a*b,direct,student/work/reverse_integer_variants/ex255/verilog/ex255_umul_direct.v,student/work/reverse_integer_variants/ex255/aigs/ex255_umul_direct.aig,97,16,1552,integer Verilog seed
ex256,ex256_umul_direct,low5_high5:a*b,direct,student/work/reverse_integer_variants/ex256/verilog/ex256_umul_direct.v,student/work/reverse_integer_variants/ex256/aigs/ex256_umul_direct.aig,171,24,4104,integer Verilog seed
ex257,ex257_umul_direct,low6_high6:a*b,direct,student/work/reverse_integer_variants/ex257/verilog/ex257_umul_direct.v,student/work/reverse_integer_variants/ex257/aigs/ex257_umul_direct.aig,261,28,7308,integer Verilog seed
ex258,ex258_umul_direct,low7_high7:a*b,direct,student/work/reverse_integer_variants/ex258/verilog/ex258_umul_direct.v,student/work/reverse_integer_variants/ex258/aigs/ex258_umul_direct.aig,392,35,13720,integer Verilog seed
ex259,ex259_umul_direct,low8_high8:a*b,direct,student/work/reverse_integer_variants/ex259/verilog/ex259_umul_direct.v,student/work/reverse_integer_variants/ex259/aigs/ex259_umul_direct.aig,506,38,19228,integer Verilog seed
ex260,ex260_smul_abs_sign,low4_high4:signed_a*signed_b,abs_sign,student/work/reverse_integer_variants/ex260/verilog/ex260_smul_abs_sign.v,student/work/reverse_integer_variants/ex260/aigs/ex260_smul_abs_sign.aig,109,19,2071,integer Verilog seed
ex261,ex261_smul_abs_sign,low5_high5:signed_a*signed_b,abs_sign,student/work/reverse_integer_variants/ex261/verilog/ex261_smul_abs_sign.v,student/work/reverse_integer_variants/ex261/aigs/ex261_smul_abs_sign.aig,189,27,5103,integer Verilog seed
ex262,ex262_smul_abs_sign,low6_high6:signed_a*signed_b,abs_sign,student/work/reverse_integer_variants/ex262/verilog/ex262_smul_abs_sign.v,student/work/reverse_integer_variants/ex262/aigs/ex262_smul_abs_sign.aig,285,33,9405,integer Verilog seed
ex263,ex263_smul_abs_sign,low7_high7:signed_a*signed_b,abs_sign,student/work/reverse_integer_variants/ex263/verilog/ex263_smul_abs_sign.v,student/work/reverse_integer_variants/ex263/aigs/ex263_smul_abs_sign.aig,415,41,17015,integer Verilog seed
ex264,ex264_smul_abs_sign,low8_high8:signed_a*signed_b,abs_sign,student/work/reverse_integer_variants/ex264/verilog/ex264_smul_abs_sign.v,student/work/reverse_integer_variants/ex264/aigs/ex264_smul_abs_sign.aig,541,45,24345,integer Verilog seed
