case,candidate_count,best_candidate_id,best_variant,best_area,best_delay,best_adp,best_source_csv,top5
ex280,7,ex280_unknown_12x12_rotate_high_split_default,rotate_high_split_default,1392,15,20880,unknown_verilog_20260603_1812.csv,rotate_high_split_default:20880; rotate_low_split_default:20880; low_split_default:42822; high_split_default:54252; expr_default_exception:61960
ex281,7,ex281_unknown_13x13_rotate_low_split_default,rotate_low_split_default,2425,17,41225,unknown_verilog_20260603_1812.csv,rotate_low_split_default:41225; rotate_high_split_default:54706; low_split_default:59800; high_split_default:92017; expr_default_exception:119899
ex282,7,ex282_unknown_14x14_rotate_high_split_default,rotate_high_split_default,3299,18,59382,unknown_verilog_20260603_1812.csv,rotate_high_split_default:59382; rotate_low_split_default:59382; low_split_default:111048; high_split_default:146181; expr_default_exception:180500
ex283,7,ex283_unknown_15x15_rotate_high_split_default,rotate_high_split_default,4982,20,99640,unknown_verilog_20260603_1812.csv,rotate_high_split_default:99640; rotate_low_split_default:111520; low_split_default:130504; high_split_default:231506; expr_default_exception:303885
ex284,7,ex284_unknown_16x16_rotate_high_split_default,rotate_high_split_default,4831,20,96620,unknown_verilog_20260603_1812.csv,rotate_high_split_default:96620; rotate_low_split_default:96620; low_split_default:253092; high_split_default:358656; expr_default_exception:455242
ex285,7,ex285_unknown_12x12_decision_tree_greedy,decision_tree_greedy,818,17,13906,unknown_verilog_20260603_1812.csv,decision_tree_greedy:13906; rotate_high_split_default:17576; rotate_low_split_default:17576; low_split_default:34530; high_split_default:56644
ex286,7,ex286_unknown_13x13_rotate_low_split_default,rotate_low_split_default,1865,14,26110,unknown_verilog_20260603_1812.csv,rotate_low_split_default:26110; rotate_high_split_default:40976; decision_tree_greedy:41154; low_split_default:51488; high_split_default:111622
ex287,7,ex287_unknown_14x14_decision_tree_greedy,decision_tree_greedy,1833,19,34827,unknown_verilog_20260603_1812.csv,decision_tree_greedy:34827; rotate_high_split_default:35790; rotate_low_split_default:35790; low_split_default:104754; value_case:210254
ex288,7,ex288_unknown_15x15_rotate_high_split_default,rotate_high_split_default,4356,16,69696,unknown_verilog_20260603_1812.csv,rotate_high_split_default:69696; rotate_low_split_default:72540; decision_tree_greedy:76720; low_split_default:138380; value_case:357912
ex289,7,ex289_unknown_16x16_decision_tree_greedy,decision_tree_greedy,2203,21,46263,unknown_verilog_20260603_1812.csv,decision_tree_greedy:46263; rotate_high_split_default:50220; rotate_low_split_default:50220; low_split_default:125580; high_split_default:459984
ex290,7,ex290_unknown_12x12_rotate_high_split_default,rotate_high_split_default,4484,16,71744,unknown_verilog_20260603_1812.csv,rotate_high_split_default:71744; rotate_low_split_default:71744; low_split_default:98112; decision_tree_greedy:115767; high_split_default:148482
ex291,7,ex291_unknown_13x13_rotate_high_split_default,rotate_high_split_default,6624,16,105984,unknown_verilog_20260603_1812.csv,rotate_high_split_default:105984; low_split_default:151344; rotate_low_split_default:151521; decision_tree_greedy:168360; high_split_default:298509
ex292,7,ex292_unknown_14x14_rotate_high_split_default,rotate_high_split_default,9350,18,168300,unknown_verilog_20260603_1812.csv,rotate_high_split_default:168300; rotate_low_split_default:168300; decision_tree_greedy:252651; low_split_default:287380; high_split_default:614240
ex293,7,ex293_unknown_15x15_rotate_low_split_default,rotate_low_split_default,8158,18,146844,unknown_verilog_20260603_1812.csv,rotate_low_split_default:146844; rotate_high_split_default:151110; decision_tree_greedy:313194; low_split_default:360528; high_split_default:1262008
ex294,7,ex294_unknown_16x16_rotate_high_split_default,rotate_high_split_default,18382,19,349258,unknown_verilog_20260603_1812.csv,rotate_high_split_default:349258; rotate_low_split_default:349258; decision_tree_greedy:427768; low_split_default:657272; high_split_default:2577725
ex295,5,ex295_unknown_12x12_low_split_default,low_split_default,8692,18,156456,unknown_verilog_20260603_1812.csv,low_split_default:156456; high_split_default:156474; decision_tree_greedy:186922; value_case:192654; expr_default_exception:224595
ex296,7,ex296_unknown_13x13_high_split_default,high_split_default,9032,17,153544,unknown_verilog_20260603_1812.csv,high_split_default:153544; rotate_high_split_default:169762; rotate_low_split_default:188043; value_case:194418; low_split_default:217056
ex297,6,ex297_unknown_14x14_low_split_default,low_split_default,32553,21,683613,unknown_verilog_20260603_1812.csv,low_split_default:683613; rotate_high_split_default:684789; high_split_default:694029; value_case:813816; decision_tree_greedy:889479
ex298,7,ex298_unknown_15x15_rotate_high_split_default,rotate_high_split_default,34185,20,683700,unknown_verilog_20260603_1812.csv,rotate_high_split_default:683700; high_split_default:702020; rotate_low_split_default:784058; value_case:786900; low_split_default:792660
ex299,5,ex299_unknown_16x16_high_split_default,high_split_default,118808,24,2851392,unknown_verilog_20260603_1812.csv,high_split_default:2851392; low_split_default:2975575; value_case:3529387; decision_tree_greedy:4185860; expr_default_exception:4213475
