case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev,436,30,13080,2415,5.416149,16821,-3741,1,prefix_parity_reduce_deg2_hybrid_endpoint_rev,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=15; features=121; ok_bits=0:1:2:3:4:5:6:7:9; residual_bits=8:10:11; residual_order=endpoint_rev; inconsistent=0xd00; used_features=59; term_counts=1:3:5:7:9:11:13:19:0:24:0:0; residual_terms=114:92:76; hash=61199c6ba0e3,unknown mux-coordinate ANF hybrid Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_depth,482,32,15424,2336,6.602740,20592,-5168,1,prefix_parity_reduce_deg2_hybrid_best_depth,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=16; features=137; ok_bits=0:1:2:3:4:5:6:7:8:10; residual_bits=9:11:12; residual_order=rot3; inconsistent=0x1a00; used_features=70; term_counts=1:3:5:7:9:11:13:15:21:0:26:0:0; residual_terms=130:104:86; hash=203ffaad0f56,unknown mux-coordinate ANF hybrid Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev,512,34,17408,2704,6.437870,25245,-7837,1,prefix_parity_reduce_deg2_hybrid_endpoint_rev,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:11; residual_bits=10:12:13; residual_order=endpoint_rev; inconsistent=0x3400; used_features=82; term_counts=1:3:5:7:9:11:13:15:17:23:0:28:0:0; residual_terms=146:116:96; hash=1813299874dd,unknown mux-coordinate ANF hybrid Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node,494,36,17784,3168,5.613636,29785,-12001,1,prefix_parity_reduce_deg2_hybrid_best_node,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:12; residual_bits=11:13:14; residual_order=center; inconsistent=0x6800; used_features=95; term_counts=1:3:5:7:9:11:13:15:17:19:25:0:30:0:0; residual_terms=162:128:106; hash=d8823c95fb13,unknown mux-coordinate ANF hybrid Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node,518,41,21238,4240,5.008962,37791,-16553,1,prefix_parity_reduce_deg2_hybrid_best_node,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:13; residual_bits=12:14:15; residual_order=endpoint; inconsistent=0xd000; used_features=109; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:0:32:0:0; residual_terms=178:140:116; hash=049e6c374965,unknown mux-coordinate ANF hybrid Verilog seed
