case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,622,31,19282,Yosys abc gate set aig,Yosys abc gate set aig
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,700,33,23100,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,761,35,26635,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,872,39,34008,Yosys abc gate set aig,Yosys abc gate set aig
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,969,39,37791,Yosys abc gate set aig,Yosys abc gate set aig
