case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,1,1,1,622,31,19282,0.422,Yosys abc gate set aig,Yosys abc gate set aig,1,19282,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_synth_preset,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_synth_preset,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_synth_preset.aig,1,1,1,719,31,22289,0.563,Yosys synth preset with flatten,Yosys synth preset with flatten,1,22289,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share.aig,1,1,1,742,31,23002,0.432,extra opt_reduce/opt_muxtree/wreduce/share,extra opt_reduce/opt_muxtree/wreduce/share,1,23002,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24.aig,1,1,1,622,31,19282,0.420,Yosys abc gate set aig delay target 24,Yosys abc gate set aig delay target 24,1,19282,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28.aig,1,1,1,622,31,19282,0.421,Yosys abc gate set aig delay target 28,Yosys abc gate set aig delay target 28,1,19282,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig.aig,1,1,1,700,33,23100,0.496,Yosys abc gate set aig,Yosys abc gate set aig,1,23100,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_synth_preset,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_synth_preset,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_synth_preset.aig,1,1,1,788,33,26004,0.662,Yosys synth preset with flatten,Yosys synth preset with flatten,1,26004,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_extra_opt_share.aig,1,1,1,807,33,26631,0.510,extra opt_reduce/opt_muxtree/wreduce/share,extra opt_reduce/opt_muxtree/wreduce/share,1,26631,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d24.aig,1,1,1,700,33,23100,0.499,Yosys abc gate set aig delay target 24,Yosys abc gate set aig delay target 24,1,23100,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_synthflow_20260608_2330/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev_abc_g_aig_d28.aig,1,1,1,700,33,23100,0.503,Yosys abc gate set aig delay target 28,Yosys abc gate set aig delay target 28,1,23100,0,
