case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_bdd_perbit_interleave_msb_abc_g_aig,1,344,14,4816,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig,1,344,14,4816,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_perbit_interleave_msb_synth_preset,1,338,17,5746,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_perbit_search_best_abc_g_aig,1,325,17,5525,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=abc_g_aig
ex267,ex267_udiv_bdd_perbit_search_best_wreduce_abc_g_aig,1,325,17,5525,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_perbit_search_best_synth_preset,1,321,15,4815,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=synth_preset
ex267,ex267_udiv_bdd_comp_interleave_msb_abc_g_aig,1,339,17,5763,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig,1,339,17,5763,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_comp_interleave_msb_synth_preset,1,323,18,5814,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_comp_search_best_abc_g_aig,1,326,16,5216,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_search_best_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_search_best; flow=abc_g_aig
ex267,ex267_udiv_bdd_comp_search_best_wreduce_abc_g_aig,1,326,16,5216,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_search_best_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_search_best; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_comp_search_best_synth_preset,1,318,16,5088,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_search_best_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_search_best; flow=synth_preset
ex267,ex267_udiv_bdd_comp_perbit_interleave_msb_abc_g_aig,1,339,16,5424,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_perbit_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_comp_perbit_interleave_msb_wreduce_abc_g_aig,1,339,16,5424,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_perbit_interleave_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_comp_perbit_interleave_msb_synth_preset,1,334,17,5678,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_perbit_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_comp_perbit_search_best_abc_g_aig,1,328,16,5248,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_perbit_search_best_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=abc_g_aig
