case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_bdd_perbit_interleave_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_perbit_interleave_msb+abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_abc_g_aig.aig,1,1,1,344,14,4816,2651,1.816673,0,0,0.306,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_perbit_interleave_msb+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,344,14,4816,2651,1.816673,0,0,0.295,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_perbit_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_perbit_interleave_msb+synth_preset,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_interleave_msb_synth_preset.aig,1,1,1,338,17,5746,2651,2.167484,0,0,0.390,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_perbit_search_best_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_perbit_search_best+abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_search_best.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_abc_g_aig.aig,1,1,1,325,17,5525,2651,2.084119,0,0,0.270,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=abc_g_aig
ex267,ex267_udiv_bdd_perbit_search_best_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_perbit_search_best+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_search_best.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_wreduce_abc_g_aig.aig,1,1,1,325,17,5525,2651,2.084119,0,0,0.279,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_perbit_search_best_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_perbit_search_best+synth_preset,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_perbit_search_best.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_perbit_search_best_synth_preset.aig,1,1,1,321,15,4815,2651,1.816296,0,0,0.374,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_perbit_search_best; flow=synth_preset
ex267,ex267_udiv_bdd_comp_interleave_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_comp_interleave_msb+abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_comp_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_abc_g_aig.aig,1,1,1,339,17,5763,2651,2.173897,0,0,0.269,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_comp_interleave_msb+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_comp_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,339,17,5763,2651,2.173897,0,0,0.276,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_comp_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_comp_interleave_msb+synth_preset,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_comp_interleave_msb.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_interleave_msb_synth_preset.aig,1,1,1,323,18,5814,2651,2.193135,0,0,0.359,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_comp_search_best_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_comp_search_best+abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_comp_search_best.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_search_best_abc_g_aig.aig,1,1,1,326,16,5216,2651,1.967559,0,0,0.275,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_search_best; flow=abc_g_aig
ex267,ex267_udiv_bdd_comp_search_best_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_comp_search_best+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/verilog/ex267_udiv_bdd_comp_search_best.v,student/work/ex267_frontend_udiv_perbit_comp_bdd_20260609_0948/ex267/aigs/ex267_udiv_bdd_comp_search_best_wreduce_abc_g_aig.aig,1,1,1,326,16,5216,2651,1.967559,0,0,0.272,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_comp_search_best; flow=wreduce_abc_g_aig
