case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_factored_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel6_abc_g_aig.aig,1,1,1,666,58,38628,15078,2.561878,0,0,0.734,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_factored_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel6_wreduce_abc_g_aig.aig,1,1,1,660,58,38280,15078,2.538798,0,0,0.753,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_factored_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_factored_csel6+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel6_synth_preset.aig,1,1,1,661,58,38338,15078,2.542645,0,0,0.934,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_factored_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_factored_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel6_synth_preset_d20.aig,1,1,1,661,58,38338,15078,2.542645,0,0,0.896,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_factored_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel8_abc_g_aig.aig,1,1,1,677,53,35881,15078,2.379692,0,0,0.745,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_factored_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel8_wreduce_abc_g_aig.aig,1,1,1,668,55,36740,15078,2.436663,0,0,0.767,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_factored_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_factored_csel8+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel8_synth_preset.aig,1,1,1,670,56,37520,15078,2.488394,0,0,0.921,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_factored_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_factored_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel8_synth_preset_d20.aig,1,1,1,670,56,37520,15078,2.488394,0,0,0.926,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel8; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop2_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_factored_abc_g_aig.aig,1,1,1,681,55,37455,15078,2.484083,0,0,0.776,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_factored; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,681,51,34731,15078,2.303422,0,0,0.773,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_factored; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_factored_synth_preset.aig,1,1,1,675,56,37800,15078,2.506964,0,0,0.891,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_factored; flow=synth_preset
