case,candidate_id,family_id,parent_id,parent_hash,source,tool,tool_chain,command,command_expanded,params_json,aig_path,aig_hash,verilog_path,seed_origin,area,delay,adp,parent_area,parent_delay,parent_adp,delta_area,delta_delay,delta_adp,equivalent,round,phase,tier,runtime_sec,is_pareto,is_near_pareto,is_active,is_new_pareto,duplicate_of,notes
ex200,ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pcu_a3658_d16_adp58528_be64d209,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_dc2,dc2,strash; dc2; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pcu_a3658_d16_adp58528_be64d209.aig,be64d2096ffe4633dd1e0c481725ea70e906928987feac5662ab30b29b164a9c,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3658,16,58528,3717,17,63189,-59,-1,-4661,1,0,abc_abc9,0,0.760,1,0,1,1,,
ex200,ex200_r000_abc9_abc9_syn2_dc2_pex200_r000_seed_seed_pcu_a4740_d15_adp71100_443f6edc,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc9,abc9,abc9_syn2_dc2,abc9_syn2_dc2,strash; &get; &st; &syn2; &dc2; &put; strash,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc9_abc9_syn2_dc2_pex200_r000_seed_seed_pcu_a4740_d15_adp71100_443f6edc.aig,443f6edc53202b509ba0a126de7fbda0b7300bea4905b0d770f5e1e0804379b3,,student/seeds/bf16/ex200_ex219_current/results/best.csv,4740,15,71100,3717,17,63189,1023,-2,7911,1,0,abc_abc9,0,0.862,1,0,1,1,,
ex200,ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pcu_a3660_d16_adp58560_1a9f7b8a,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_dch,dch,strash; dch; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pcu_a3660_d16_adp58560_1a9f7b8a.aig,1a9f7b8a5f3b44dfe9ad8c41881f9d2c0a4dfe712c88cdb58a1ee9edbf999f24,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3660,16,58560,3717,17,63189,-57,-1,-4629,1,0,abc_abc9,0,1.080,0,1,1,,,
ex200,ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pal_a3672_d16_adp58752_d26cd5db,alt02,ex200_r000_seed_seed_palt02_a3725_d17_adp63325_1df714cd,1df714cdf95e230a18baed59caed866aa7e4c91f9cad87032f5a46ba56e43275,abc,abc,abc_dch,dch,strash; dch; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pal_a3672_d16_adp58752_d26cd5db.aig,d26cd5dbf0b7e2ea460599e3f1d5e4210abce063ec228db3462473038cff4ee4,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3672,16,58752,3725,17,63325,-53,-1,-4573,1,0,abc_abc9,0,1.096,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pcu_a3680_d16_adp58880_e465081e,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn2,resyn2,balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pcu_a3680_d16_adp58880_e465081e.aig,e465081e5e04a80223f6164addf6cd46908989d09424ee34499a79f68577f4ae,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3680,16,58880,3717,17,63189,-37,-1,-4309,1,0,abc_abc9,0,0.800,0,1,1,,,
ex200,ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pal_a3681_d16_adp58896_6c0506a4,alt02,ex200_r000_seed_seed_palt02_a3725_d17_adp63325_1df714cd,1df714cdf95e230a18baed59caed866aa7e4c91f9cad87032f5a46ba56e43275,abc,abc,abc_dc2,dc2,strash; dc2; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pal_a3681_d16_adp58896_6c0506a4.aig,6c0506a4946a0dd8cbb7f7c79e8ec17928eca92bc45dfba75aeedb37e8542d20,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3681,16,58896,3725,17,63325,-44,-1,-4429,1,0,abc_abc9,0,0.793,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn_pex200_r000_seed_seed_pcu_a3687_d16_adp58992_3ceda061,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn,resyn,balance; rewrite; rewrite -z; balance; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_resyn_pex200_r000_seed_seed_pcu_a3687_d16_adp58992_3ceda061.aig,3ceda061d5230c3d564346df25f3099226d9d3e900a8428116227eefb9c60eca,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3687,16,58992,3717,17,63189,-30,-1,-4197,1,0,abc_abc9,0,0.790,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pal_a3687_d16_adp58992_6b1fbd1a,alt02,ex200_r000_seed_seed_palt02_a3725_d17_adp63325_1df714cd,1df714cdf95e230a18baed59caed866aa7e4c91f9cad87032f5a46ba56e43275,abc,abc,abc_resyn2,resyn2,balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pal_a3687_d16_adp58992_6b1fbd1a.aig,6b1fbd1a747e2bcebd844fe4573e41765ea4f337ca1191378b4e6388617ecbad,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3687,16,58992,3725,17,63325,-38,-1,-4333,1,0,abc_abc9,0,0.779,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn2a_pex200_r000_seed_seed_pcu_a3689_d16_adp59024_86fe874f,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn2a,resyn2a,balance; rewrite; balance; rewrite; rewrite -z; balance; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_resyn2a_pex200_r000_seed_seed_pcu_a3689_d16_adp59024_86fe874f.aig,86fe874fc1775ceb9b4b05502a676dc659cee70f0dabbb92a6cd0f5025936276,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3689,16,59024,3717,17,63189,-28,-1,-4165,1,0,abc_abc9,0,0.758,0,1,1,,,
ex200,ex200_r000_abc_abc_bal_rw_pex200_r000_seed_seed_pcu_a3690_d16_adp59040_8ffcc119,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_bal_rw,bal_rw,balance; rewrite; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/ex200/artifacts/ex200_r000_abc_abc_bal_rw_pex200_r000_seed_seed_pcu_a3690_d16_adp59040_8ffcc119.aig,8ffcc119b06a7a4eb9bd72958a00ecf609674588267d3aee1717396c4d767bb1,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3690,16,59040,3717,17,63189,-27,-1,-4149,1,0,abc_abc9,0,0.715,0,1,1,,,
