case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex285,ex285_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f10_k4.aig,1042,15,15630,pairs=4:5; order=interleave; policy=f10; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=108:111:95:97:111:102:97:95:89:85:92:94:85:89:94:97; total_group_nodes=1541; hash=e1ff1c15a167,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f10_k4.aig,1474,16,23584,pairs=4:5; order=interleave; policy=f10; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=144:160:156:165:165:145:172:170:157:150:130:149:157:154:155:143; total_group_nodes=2472; hash=ebe3911b059e,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f00_k4.aig,1755,18,31590,pairs=4:5; order=interleave; policy=f00; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=208:218:195:198:236:188:201:174:189:187:192:205:192:170:225:208; total_group_nodes=3186; hash=da252f17eb02,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f10_k4.aig,1930,18,34740,pairs=4:5; order=interleave; policy=f10; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=16; group_nodes=290:260:304:291:291:229:313:265:317:290:270:259:302:236:280:225; total_group_nodes=4422; hash=e31f6803055b,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/verilog/ex289_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/aigs/ex289_unknown_symcof_interleave_f00_k4.aig,1755,19,33345,pairs=4:5; order=interleave; policy=f00; outer_bits=0:15:1:14; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=16; group_nodes=312:311:246:247:311:265:247:232:246:247:277:305:247:232:305:293; total_group_nodes=4323; hash=c7adf472769a,unknown symmetry cofactor class-onehot Verilog seed
