case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex285,ex285_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f10_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f10_k3.aig,1,1,1,1027,16,16432,1.010,pairs=4:5; order=interleave; policy=f10; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=163:175:162:170:175:165:170:160; total_group_nodes=1340; hash=26627075a87b,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f10_k4.aig,1,1,1,1042,15,15630,1.004,pairs=4:5; order=interleave; policy=f10; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=108:111:95:97:111:102:97:95:89:85:92:94:85:89:94:97; total_group_nodes=1541; hash=e1ff1c15a167,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f10_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f10_k5.aig,1,1,1,1170,15,17550,1.032,pairs=4:5; order=interleave; policy=f10; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=68:63:59:55:63:53:55:51:45:49:44:52:49:55:52:59:57:61:51:55:61:65:55:59:55:49:59:55:49:45:55:49; total_group_nodes=1752; hash=fc33d251ad39,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f00_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f00_k3.aig,1,1,1,1023,16,16368,1.002,pairs=4:5; order=interleave; policy=f00; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=159:171:158:166:171:161:166:156; total_group_nodes=1308; hash=3da0debcba4f,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f00_k4.aig,1,1,1,1049,16,16784,1.056,pairs=4:5; order=interleave; policy=f00; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=104:107:91:93:107:98:93:91:84:81:87:90:81:86:90:94; total_group_nodes=1477; hash=730a39fbdda1,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/verilog/ex285_unknown_symcof_interleave_f00_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex285/aigs/ex285_unknown_symcof_interleave_f00_k5.aig,1,1,1,1171,14,16394,1.006,pairs=4:5; order=interleave; policy=f00; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=64:60:55:52:60:48:52:46:41:45:40:48:45:52:48:56:54:56:48:50:56:61:50:55:50:45:54:51:45:41:51:45; total_group_nodes=1624; hash=643863562475,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f10_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f10_k3.aig,1,1,1,1431,19,27189,1.493,pairs=4:5; order=interleave; policy=f10; outer_bits=0:12:1; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=8; group_nodes=250:258:242:258:264:244:268:260; total_group_nodes=2044; hash=78a404a6196f,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f10_k4.aig,1,1,1,1474,16,23584,1.502,pairs=4:5; order=interleave; policy=f10; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=144:160:156:165:165:145:172:170:157:150:130:149:157:154:155:143; total_group_nodes=2472; hash=ebe3911b059e,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f10_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f10_k5.aig,1,1,1,1584,15,23760,1.572,pairs=4:5; order=interleave; policy=f10; outer_bits=0:12:1:11:2; inner_bits=3:4:5:6:7:8:9:10; classes=32; group_nodes=97:94:106:93:98:81:96:96:83:81:57:79:95:95:84:83:74:96:92:95:97:99:105:119:104:89:91:97:87:93:96:86; total_group_nodes=2938; hash=5424bc2d9e99,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f00_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f00_k3.aig,1,1,1,1449,17,24633,1.528,pairs=4:5; order=interleave; policy=f00; outer_bits=0:12:1; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=8; group_nodes=239:244:232:244:250:231:253:244; total_group_nodes=1937; hash=d6391479f927,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f00_k4.aig,1,1,1,1473,17,25041,1.471,pairs=4:5; order=interleave; policy=f00; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=135:148:146:153:151:134:158:154:149:142:124:140:151:144:144:134; total_group_nodes=2307; hash=ad69a04a02a7,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/verilog/ex286_unknown_symcof_interleave_f00_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex286/aigs/ex286_unknown_symcof_interleave_f00_k5.aig,1,1,1,1569,17,26673,1.586,pairs=4:5; order=interleave; policy=f00; outer_bits=0:12:1:11:2; inner_bits=3:4:5:6:7:8:9:10; classes=32; group_nodes=88:88:96:87:91:73:90:84:78:76:54:74:89:88:77:78:70:85:87:84:84:88:92:104:97:84:85:89:85:83:88:77; total_group_nodes=2693; hash=c6ccdc9b4aea,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f10_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f10_k3.aig,1,1,1,1762,19,33478,2.550,pairs=4:5; order=interleave; policy=f10; outer_bits=0:13:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=8; group_nodes=324:337:311:337:353:297:353:331; total_group_nodes=2643; hash=1e640c829975,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f10_k4.aig,1,1,1,1772,18,31896,2.639,pairs=4:5; order=interleave; policy=f10; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=230:242:216:220:266:215:227:199:209:206:211:228:213:192:257:243; total_group_nodes=3574; hash=be0867c48321,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f10_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f10_k5.aig,1,1,1,1879,17,31943,2.623,pairs=4:5; order=interleave; policy=f10; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=166:158:155:142:190:147:149:125:118:134:117:137:136:125:161:160:154:146:142:142:167:153:149:142:157:134:162:153:136:119:178:163; total_group_nodes=4717; hash=4bbfacebaf87,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f00_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f00_k3.aig,1,1,1,1769,18,31842,2.437,pairs=4:5; order=interleave; policy=f00; outer_bits=0:13:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=8; group_nodes=301:312:287:309:323:270:319:296; total_group_nodes=2417; hash=b111b8c69677,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f00_k4.aig,1,1,1,1755,18,31590,2.552,pairs=4:5; order=interleave; policy=f00; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=208:218:195:198:236:188:201:174:189:187:192:205:192:170:225:208; total_group_nodes=3186; hash=da252f17eb02,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex287/aigs/ex287_unknown_symcof_interleave_f00_k5.aig,1,1,1,1899,18,34182,2.533,pairs=4:5; order=interleave; policy=f00; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=146:143:137:128:167:124:131:106:108:118:107:121:123:111:141:135:138:127:129:122:143:127:129:119:138:120:143:136:119:101:148:132; total_group_nodes=4117; hash=af8dd0b33aba,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f10_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f10_k3.aig,1,1,1,1896,20,37920,4.711,pairs=4:5; order=interleave; policy=f10; outer_bits=0:14:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=8; group_nodes=416:387:392:387:390:325:390:343; total_group_nodes=3030; hash=f34f02ed2e48,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f10_k4.aig,1,1,1,1930,18,34740,4.545,pairs=4:5; order=interleave; policy=f10; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=16; group_nodes=290:260:304:291:291:229:313:265:317:290:270:259:302:236:280:225; total_group_nodes=4422; hash=e31f6803055b,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f10_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f10_k5.aig,1,1,1,2089,18,37602,4.629,pairs=4:5; order=interleave; policy=f10; outer_bits=0:14:1:13:2; inner_bits=3:4:5:6:7:8:9:10:11:12; classes=32; group_nodes=219:197:226:216:213:163:214:192:221:204:166:168:226:178:192:159:211:165:234:201:198:161:231:193:240:212:208:193:207:175:208:168; total_group_nodes=6359; hash=5d7f30959d29,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f00_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f00_k3.aig,1,1,1,1940,21,40740,4.636,pairs=4:5; order=interleave; policy=f00; outer_bits=0:14:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=8; group_nodes=383:352:360:350:358:296:354:310; total_group_nodes=2763; hash=38f3683566e3,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f00_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f00_k4.aig,1,1,1,1934,19,36746,4.448,pairs=4:5; order=interleave; policy=f00; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=16; group_nodes=261:236:274:261:260:202:277:232:284:257:244:230:272:212:249:201; total_group_nodes=3952; hash=b383b401eaf9,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/verilog/ex288_unknown_symcof_interleave_f00_k5.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex288/aigs/ex288_unknown_symcof_interleave_f00_k5.aig,1,1,1,2079,17,35343,4.520,pairs=4:5; order=interleave; policy=f00; outer_bits=0:14:1:13:2; inner_bits=3:4:5:6:7:8:9:10:11:12; classes=32; group_nodes=195:177:199:192:189:140:189:163:198:180:151:149:202:158:169:141:188:147:208:176:173:140:199:166:211:182:184:166:183:155:180:148; total_group_nodes=5598; hash=310e27dccd88,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/verilog/ex289_unknown_symcof_interleave_f10_k3.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/aigs/ex289_unknown_symcof_interleave_f10_k3.aig,1,1,1,1721,23,39583,9.368,pairs=4:5; order=interleave; policy=f10; outer_bits=0:15:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13:14; classes=8; group_nodes=415:416:367:416:416:367:416:415; total_group_nodes=3228; hash=0a865d6c6fe2,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/verilog/ex289_unknown_symcof_interleave_f10_k4.v,student/work/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/ex289/aigs/ex289_unknown_symcof_interleave_f10_k4.aig,1,1,1,1716,20,34320,8.863,pairs=4:5; order=interleave; policy=f10; outer_bits=0:15:1:14; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=16; group_nodes=340:343:264:271:343:301:271:264:264:271:301:343:271:264:343:340; total_group_nodes=4794; hash=e2d6f19dd45f,unknown symmetry cofactor class-onehot Verilog seed
