case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_signcase_core_mul_abc_g_aig,1,111,25,2775,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_mul_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_mul; flow=abc_g_aig
ex260,ex260_smul_signcase_core_mul_wreduce_abc_g_aig,1,111,25,2775,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_mul_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_mul; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcase_core_mul_synth_preset_d11,1,114,25,2850,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_mul_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_mul; flow=synth_preset_d11
ex260,ex260_smul_signcase_core_mul_synth_preset_d13,1,114,25,2850,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_mul_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_mul; flow=synth_preset_d13
ex260,ex260_smul_signcase_core_wallace_abc_g_aig,1,112,23,2576,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_wallace; flow=abc_g_aig
ex260,ex260_smul_signcase_core_wallace_wreduce_abc_g_aig,1,112,23,2576,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_wallace_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcase_core_wallace_synth_preset_d11,1,114,25,2850,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_wallace_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_wallace; flow=synth_preset_d11
ex260,ex260_smul_signcase_core_wallace_synth_preset_d13,1,114,25,2850,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_signcase_core_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signcase_core_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,91,14,1274,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,93,14,1302,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,93,14,1302,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,93,14,1302,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_signcase_core_mul_abc_g_aig,1,401,41,16441,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=abc_g_aig
ex263,ex263_smul_signcase_core_mul_wreduce_abc_g_aig,1,401,41,16441,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcase_core_mul_synth_preset_d11,1,407,43,17501,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=synth_preset_d11
ex263,ex263_smul_signcase_core_mul_synth_preset_d13,1,407,43,17501,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=synth_preset_d13
ex263,ex263_smul_signcase_core_wallace_abc_g_aig,1,411,40,16440,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=abc_g_aig
ex263,ex263_smul_signcase_core_wallace_wreduce_abc_g_aig,1,410,40,16400,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcase_core_wallace_synth_preset_d11,1,422,42,17724,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=synth_preset_d11
ex263,ex263_smul_signcase_core_wallace_synth_preset_d13,1,422,42,17724,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,356,28,9968,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,356,28,9968,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
