case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.283,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_signcase_core_mul_abc_g_aig,signed low7_high7:a*b,signcase_core_mul+abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_mul.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_abc_g_aig.aig,1,1,1,401,41,16441,6840,2.403655,0,0,0.543,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=abc_g_aig
ex263,ex263_smul_signcase_core_mul_wreduce_abc_g_aig,signed low7_high7:a*b,signcase_core_mul+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_mul.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_wreduce_abc_g_aig.aig,1,1,1,401,41,16441,6840,2.403655,0,0,0.559,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcase_core_mul_synth_preset_d11,signed low7_high7:a*b,signcase_core_mul+synth_preset_d11,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_mul.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_synth_preset_d11.aig,1,1,1,407,43,17501,6840,2.558626,0,0,0.645,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=synth_preset_d11
ex263,ex263_smul_signcase_core_mul_synth_preset_d13,signed low7_high7:a*b,signcase_core_mul+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_mul.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_mul_synth_preset_d13.aig,1,1,1,407,43,17501,6840,2.558626,0,0,0.649,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_mul; flow=synth_preset_d13
ex263,ex263_smul_signcase_core_wallace_abc_g_aig,signed low7_high7:a*b,signcase_core_wallace+abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_wallace.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_abc_g_aig.aig,1,1,1,411,40,16440,6840,2.403509,0,0,0.582,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=abc_g_aig
