case,degree,weight,input_width,output_width,layer_rows,feature_count,feature_rank,exact_bit_count,exact_bits,layer_all_bits_exact,notes
ex286,1,0,13,13,1,14,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,1,13,13,13,14,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,2,13,13,78,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,3,13,13,286,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,4,13,13,715,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,5,13,13,1287,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,6,13,13,1716,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,7,13,13,1716,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,8,13,13,1287,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,9,13,13,715,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,10,13,13,286,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,11,13,13,78,14,13,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,12,13,13,13,14,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,1,13,13,13,1,14,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex286,2,0,13,13,1,92,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,1,13,13,13,92,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,2,13,13,78,92,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,3,13,13,286,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,4,13,13,715,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,5,13,13,1287,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,6,13,13,1716,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,7,13,13,1716,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,8,13,13,1287,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
