case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex201,ex201_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.aig,1,1,1,1702,19,32338,5.921,order_name=order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=1133,unknown function shared-BDD Verilog seed
ex202,ex202_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.aig,1,1,1,3726,19,70794,6.952,order_name=order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=2349,unknown function shared-BDD Verilog seed
ex203,ex203_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.aig,1,1,1,4422,24,106128,7.229,order_name=order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=2582,unknown function shared-BDD Verilog seed
ex204,ex204_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_unknown_shared_bdd_16x16_order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.aig,1,1,1,1802,22,39644,6.277,order_name=order_15_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=1129,unknown function shared-BDD Verilog seed
