case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex201,ex201_bf16_exp2_bitplane_sign_exp_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,bitplane_sign_exp_mode,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_bitplane_sign_exp_mode.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_bitplane_sign_exp_mode.aig,1,1,1943,16,31088,0.482,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_mant_delta_pair,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_mant_delta_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_mant_delta_pair.aig,1,1,1660,19,31540,0.481,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_mant_pair_hi_lo_xor,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_mant_pair_hi_lo_xor,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_mant_pair_hi_lo_xor.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_mant_pair_hi_lo_xor.aig,1,1,2309,20,46180,0.482,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_mant_pair_no_defaults,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_mant_pair_no_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_mant_pair_no_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_mant_pair_no_defaults.aig,1,1,1599,15,23985,0.483,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_16,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16.aig,1,1,1632,15,24480,0.455,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_2,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2.aig,1,1,1596,16,25536,0.457,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_32,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32.aig,1,1,1718,17,29206,0.456,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_4,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4.aig,1,1,1606,16,25696,0.481,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_64,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64.aig,1,1,1824,19,34656,0.481,current bitlogic/frontend run consolidated recheck
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_pair_hybrid_runs_upto_8,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8.aig,1,1,1622,17,27574,0.455,current bitlogic/frontend run consolidated recheck
