case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes,previous_best_adp,ratio_to_previous_best,improves_previous,reference_adp,ratio_to_reference,beats_reference
ex201,ex201_bf16_exp2_exp_mant_pair_no_defaults,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,exp_mant_pair_no_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_mant_pair_no_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_mant_pair_no_defaults.aig,1,1,1599,15,23985,0.483,current bitlogic/frontend run consolidated recheck,23985,1.000000,0,16300,1.471472,0
ex202,ex202_bf16_exp10_exp_pair_runs_only_116_117_118_119,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,exp_pair_runs_only_116_117_118_119,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_runs_only_116_117_118_119.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_runs_only_116_117_118_119.aig,1,1,3634,17,61778,0.643,current bitlogic/frontend run consolidated recheck,59232,1.042984,0,43344,1.425295,0
ex203,ex203_bf16_log_sign_exp_mant_no_defaults,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,sign_exp_mant_no_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_sign_exp_mant_no_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_sign_exp_mant_no_defaults.aig,1,1,4546,18,81828,0.931,current bitlogic/frontend run consolidated recheck,81828,1.000000,0,56948,1.436890,0
ex204,ex204_bf16_log2_exp_mant_delta_pair_no_defaults,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,exp_mant_delta_pair_no_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_bf16_log2_exp_mant_delta_pair_no_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_bf16_log2_exp_mant_delta_pair_no_defaults.aig,1,1,1679,18,30222,0.980,current bitlogic/frontend run consolidated recheck,30222,1.000000,0,15180,1.990909,0
