case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex201,ex201_bf16_exp2_semantic_positive_field_defaults,bf16_exp2,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_semantic_positive_field_defaults.aig,1624,17,27608,positive_exp_groups=256; full_default_groups=241; positive_exceptions=1537; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex202,ex202_bf16_exp10_semantic_positive_field_defaults,bf16_exp10,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_semantic_positive_field_defaults.aig,3645,19,69255,positive_exp_groups=256; full_default_groups=240; positive_exceptions=1525; relation=zero; negative_exceptions=17047,aggressive semantic BF16 field RTL
ex203,ex203_bf16_log_semantic_sign_exp_field_defaults,bf16_log,semantic_sign_exp_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_semantic_sign_exp_field_defaults.aig,4649,19,88331,groups=512; full_default_groups=257; exceptions=20152,aggressive semantic BF16 field RTL
ex204,ex204_bf16_log2_semantic_positive_field_defaults,bf16_log2,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_bf16_log2_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_bf16_log2_semantic_positive_field_defaults.aig,2223,17,37791,positive_exp_groups=256; full_default_groups=1; positive_exceptions=21293; relation=nan; negative_exceptions=128,aggressive semantic BF16 field RTL
