case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2,bf16_exp2,exp_pair_hybrid_runs_upto_2,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_2.aig,1,1,1,1596,16,25536,1.646,,hybrid full mant case plus runs for low-unique exponent groups
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4,bf16_exp2,exp_pair_hybrid_runs_upto_4,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_4.aig,1,1,1,1606,16,25696,1.621,,hybrid full mant case plus runs for low-unique exponent groups
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8,bf16_exp2,exp_pair_hybrid_runs_upto_8,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_8.aig,1,1,1,1622,17,27574,1.615,,hybrid full mant case plus runs for low-unique exponent groups
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16,bf16_exp2,exp_pair_hybrid_runs_upto_16,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_16.aig,1,1,1,1632,15,24480,1.629,,hybrid full mant case plus runs for low-unique exponent groups
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32,bf16_exp2,exp_pair_hybrid_runs_upto_32,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_32.aig,1,1,1,1718,17,29206,1.713,,hybrid full mant case plus runs for low-unique exponent groups
ex201,ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64,bf16_exp2,exp_pair_hybrid_runs_upto_64,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_hybrid_runs_upto_64.aig,1,1,1,1824,19,34656,1.800,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_2,bf16_exp10,exp_pair_hybrid_runs_upto_2,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_2.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_2.aig,1,1,1,3651,18,65718,2.413,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_4,bf16_exp10,exp_pair_hybrid_runs_upto_4,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_4.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_4.aig,1,1,1,3651,18,65718,2.372,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_8,bf16_exp10,exp_pair_hybrid_runs_upto_8,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_8.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_8.aig,1,1,1,3671,18,66078,2.415,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_16,bf16_exp10,exp_pair_hybrid_runs_upto_16,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_16.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_16.aig,1,1,1,3676,18,66168,2.421,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_32,bf16_exp10,exp_pair_hybrid_runs_upto_32,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_32.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_32.aig,1,1,1,3733,19,70927,2.479,,hybrid full mant case plus runs for low-unique exponent groups
ex202,ex202_bf16_exp10_exp_pair_hybrid_runs_upto_64,bf16_exp10,exp_pair_hybrid_runs_upto_64,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_64.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_hybrid_runs_upto_64.aig,1,1,1,3821,18,68778,2.548,,hybrid full mant case plus runs for low-unique exponent groups
