case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex201,ex201_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.aig,1681,21,35301,order_name=order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0; order=14:13:12:11:10:9:8:7:15:6:5:4:3:2:1:0; bdd_nodes=1038,unknown function shared-BDD Verilog seed
ex202,ex202_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.aig,3728,20,74560,order_name=order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0; order=14:13:12:11:10:9:8:7:15:6:5:4:3:2:1:0; bdd_nodes=2219,unknown function shared-BDD Verilog seed
ex203,ex203_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.aig,4887,24,117288,order_name=order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0; order=14:13:12:11:10:9:8:7:15:6:5:4:3:2:1:0; bdd_nodes=3252,unknown function shared-BDD Verilog seed
ex204,ex204_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,unknown_shared_bdd_16x16,order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_unknown_shared_bdd_16x16_order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0.aig,1919,21,40299,order_name=order_14_13_12_11_10_9_8_7_15_6_5_4_3_2_1_0; order=14:13:12:11:10:9:8:7:15:6:5:4:3:2:1:0; bdd_nodes=1261,unknown function shared-BDD Verilog seed
