case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex201,ex201_bf16_exp2_exp_mant_delta_pair,bf16_exp2,exp_mant_delta_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_mant_delta_pair.aig,1660,19,31540,2671,bf16 Verilog table factoring seed
ex202,ex202_bf16_exp10_exp_mant_delta_pair,bf16_exp10,exp_mant_delta_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_mant_delta_pair.aig,3790,20,75800,2798,bf16 Verilog table factoring seed
ex203,ex203_bf16_log_exp_mant_delta_pair,bf16_log,exp_mant_delta_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_exp_mant_delta_pair.aig,4437,21,93177,32897,bf16 Verilog table factoring seed
