case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.230,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.278,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.248,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.289,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d11.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.266,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=synth_preset_d11
