case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig,1,88,15,1320,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig,1,88,15,1320,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d13,1,88,14,1232,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_abc_g_aig,1,88,15,1320,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_wreduce_abc_g_aig,1,87,16,1392,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d11,1,88,16,1408,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d13,1,88,16,1408,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_mod_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_abc_g_aig,1,87,16,1392,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_wreduce_abc_g_aig,1,87,16,1392,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d11,1,87,16,1392,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=synth_preset_d11
