case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex240,float_fp8,local-close-iter-r37,ex240_r37_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-iter-r37,ex240_r37_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-iter-r37,ex244_r37_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-iter-r37,ex285_r37_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-iter-r37,ex249_r37_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-iter-r37,ex249_r37_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
