case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex240,float_fp8,local-close-iter-r37,ex240_r37_resyn2rs_area_from_frontend_best,1,563,51,28713,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/aigs/ex240_r37_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.156; eval_sec=0.859; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex240,float_fp8,local-close-iter-r37,ex240_r37_compress2rs_area_from_frontend_best,1,563,51,28713,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/aigs/ex240_r37_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.154; eval_sec=0.867; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex240,float_fp8,local-close-iter-r37,ex240_r37_dchoice_dc2_from_frontend_best,1,561,52,29172,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/aigs/ex240_r37_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.106; eval_sec=0.865; flow=strash; dchoice; dc2; balance
ex240,float_fp8,local-close-iter-r37,ex240_r37_compress_l_no_dc_from_frontend_best,1,563,51,28713,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/aigs/ex240_r37_compress_l_no_dc_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.095; eval_sec=0.859; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex240,float_fp8,local-close-iter-r37,ex240_r37_resub_deep_rf_from_frontend_best,1,563,51,28713,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/aigs/ex240_r37_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex240/logs/ex240_r37_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.104; eval_sec=0.852; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex244,float_fp8,local-close-iter-r37,ex244_r37_resyn2rs_area_from_frontend_best,1,285,32,9120,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/aigs/ex244_r37_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.114; eval_sec=0.515; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex244,float_fp8,local-close-iter-r37,ex244_r37_compress2rs_area_from_frontend_best,1,281,35,9835,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/aigs/ex244_r37_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.121; eval_sec=0.499; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex244,float_fp8,local-close-iter-r37,ex244_r37_dchoice_dc2_from_frontend_best,1,285,32,9120,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/aigs/ex244_r37_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.083; eval_sec=0.510; flow=strash; dchoice; dc2; balance
ex244,float_fp8,local-close-iter-r37,ex244_r37_compress_l_no_dc_from_frontend_best,1,285,35,9975,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/aigs/ex244_r37_compress_l_no_dc_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.092; eval_sec=0.485; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex244,float_fp8,local-close-iter-r37,ex244_r37_resub_deep_rf_from_frontend_best,1,285,32,9120,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/aigs/ex244_r37_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_iter_remap_round37_20260613_0818/local-close-iter-r37/ex244/logs/ex244_r37_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.071; eval_sec=0.518; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
