case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,2.573,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.289,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.869,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex261,ex261_smul_anf_product_bits_abc_g_aig,signed low5_high5:a*b,anf_product_bits+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_anf_product_bits_abc_g_aig.aig,1,1,1,1535,122,187270,2041,91.754042,0,0,1.453,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=anf_product_bits; flow=abc_g_aig
ex261,ex261_smul_anf_product_bits_wreduce_abc_g_aig,signed low5_high5:a*b,anf_product_bits+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_anf_product_bits_wreduce_abc_g_aig.aig,1,1,1,1535,122,187270,2041,91.754042,0,0,1.332,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=anf_product_bits; flow=wreduce_abc_g_aig
ex261,ex261_smul_anf_product_bits_synth_preset_d9,signed low5_high5:a*b,anf_product_bits+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_anf_product_bits_synth_preset_d9.aig,1,1,1,1329,97,128913,2041,63.161685,0,0,1.681,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=anf_product_bits; flow=synth_preset_d9
ex261,ex261_smul_anf_product_bits_synth_preset_d13,signed low5_high5:a*b,anf_product_bits+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_anf_product_bits_synth_preset_d13.aig,1,1,1,1329,97,128913,2041,63.161685,0,0,1.673,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=anf_product_bits; flow=synth_preset_d13
ex261,ex261_smul_anf_product_bits_synth_preset_d18,signed low5_high5:a*b,anf_product_bits+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_anf_product_bits_synth_preset_d18.aig,1,1,1,1329,97,128913,2041,63.161685,0,0,1.679,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=anf_product_bits; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.238,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.251,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.311,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.310,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.309,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.220,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.225,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d9,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d9.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.300,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.280,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.280,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
