case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig,unsigned low4_high4:a*b,wallace_bits_prefix+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_prefix_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=abc_g_aig
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits_prefix+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_prefix_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig_d20.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d20
ex255,ex255_umul_wallace_bits_prefix_synth_preset,unsigned low4_high4:a*b,wallace_bits_prefix+synth_preset,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_prefix_synth_preset.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_synth_preset.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=synth_preset
ex256,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_frontend_umul_4to2_compressor_20260609_0153/results/candidates.csv,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_frontend_umul_4to2_compressor_20260609_0153/results/candidates.csv,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d13,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig_d13,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/verilog/ex256_umul_csa_androws_cla_abc_g_aig_d13.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d13.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_frontend_umul_highbit_decomp_20260609_0203/results/candidates.csv,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d13
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d14,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig_d14,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/verilog/ex256_umul_csa_androws_cla_abc_g_aig_d14.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d14.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_frontend_umul_highbit_decomp_20260609_0203/results/candidates.csv,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d14
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d18,unsigned low6_high6:a*b,csa_androws_cla_from3+synth_preset_d18,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/verilog/ex257_umul_csa_androws_cla_from3_synth_preset_d18.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d18.aig,1,1,263,20,5260,3952,1.330972,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d18.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d18
ex257,ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig,unsigned low6_high6:a*b,csa_androws_cla_from4+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/verilog/ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig.aig,1,1,254,21,5334,3952,1.349696,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from4.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from4; flow=wreduce_abc_g_aig
ex257,ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig,unsigned low6_high6:a*b,csa_androws_cla_from3+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/verilog/ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,1,1,255,21,5355,3952,1.355010,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from3; flow=wreduce_abc_g_aig
