case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex255,4,ex255_umul_wallace_bits_abc_g_aig_d20,87,13,1131,836,1.352871,ex255_umul_wallace_bits_abc_g_aig_d20; ex255_umul_wallace_bits_prefix_abc_g_aig; ex255_umul_wallace_bits_prefix_abc_g_aig_d20; ex255_umul_wallace_bits_prefix_synth_preset
ex256,4,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig,159,18,2862,1911,1.497645,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig; ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig; ex256_umul_csa_androws_cla_abc_g_aig_d13; ex256_umul_csa_androws_cla_abc_g_aig_d14
ex257,4,ex257_umul_csa_androws_cla_from3_synth_preset_d18,263,20,5260,3952,1.330972,ex257_umul_csa_androws_cla_from3_synth_preset_d18; ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig; ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig; ex257_umul_csa_concat_cla_abc_g_aig
ex258,4,ex258_umul_wallace_bits_abc_g_aig_d20,351,25,8775,6289,1.395293,ex258_umul_wallace_bits_abc_g_aig_d20; ex258_umul_wallace_bits_wreduce_abc_g_aig; ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig; ex258_umul_csa_androws_cla_from4_synth_preset_d13
ex259,4,ex259_umul_wallace_bits_outside_cla_abc_g_aig,480,28,13440,10000,1.344000,ex259_umul_wallace_bits_outside_cla_abc_g_aig; ex259_umul_wallace_bits_rev_cla_abc_g_aig; ex259_umul_csa_androws_cla_abc_g_aig; ex259_umul_csa_androws_cla_wreduce_abc_g_aig
ex260,4,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig,88,13,1144,657,1.741248,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig; ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig; ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11; ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13
ex261,4,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,164,18,2952,2041,1.446350,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig; ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig; ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11; ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13
ex262,4,ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,252,22,5544,4900,1.131429,ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig; ex262_smul_baugh_wooley_wallace_hcla4_synth_preset_d13; ex262_smul_baugh_wooley_wallace_hcla4_synth_preset_d18; ex262_smul_baugh_wooley_wallace_hcla6_abc_g_aig
ex263,4,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,362,24,8688,6840,1.270175,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11; ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d13; ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13; ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d15
ex264,4,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11,486,27,13122,9724,1.349445,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11; ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d13; ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d15; ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d9
ex265,4,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10,63,8,504,322,1.565217,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10; ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d12; ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d8; ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig
ex266,4,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset,148,10,1480,848,1.745283,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset; ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d10; ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d12; ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d24
ex267,4,ex267_udiv_hybrid_top2_deep_abc_g_aig_d10,340,12,4080,2651,1.539042,ex267_udiv_hybrid_top2_deep_abc_g_aig_d10; ex267_udiv_hybrid_top2_deep_abc_g_aig_d12; ex267_udiv_hybrid_top2_deep_abc_g_aig_d8; ex267_udiv_hybrid_top2_deep_wreduce_abc_g_aig
ex268,4,ex268_udiv_denom_lz_range_direct_synth_preset_d18,199,53,10547,7446,1.416465,ex268_udiv_denom_lz_range_direct_synth_preset_d18; ex268_udiv_denom_lz_range_direct_synth_preset_d24; ex268_udiv_denom_lz_range_direct_abc_g_aig; ex268_udiv_denom_lz_range_direct_wreduce_abc_g_aig
ex269,4,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset,382,42,16044,11760,1.364286,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset; ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig; ex269_udiv_radix4_shift_subtract_arith_wreduce_aig; ex269_udiv_radix4_shift_subtract_wreduce_default
ex270,4,ex270_square_wallace_square_outside_csel5_synth_preset,191,17,3247,2076,1.564066,ex270_square_wallace_square_outside_csel5_synth_preset; ex270_square_wallace_square_outside_csel5_synth_preset_d20; ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig; ex270_square_wallace_square_outside_csel3_synth_preset
ex271,4,ex271_square_wallace_square_outside_csel4_synth_preset_d20,331,25,8275,5542,1.493143,ex271_square_wallace_square_outside_csel4_synth_preset_d20; ex271_square_wallace_square_outside_csel4_abc_g_aig; ex271_square_wallace_square_outside_csel4_wreduce_abc_g_aig; ex271_square_wallace_square_outside_csel3_synth_preset
ex272,4,ex272_square_wallace_square_outside_csel5_synth_preset_d20,507,32,16224,10880,1.491176,ex272_square_wallace_square_outside_csel5_synth_preset_d20; ex272_square_wallace_square_outside_csel8_synth_preset; ex272_square_wallace_square_outside_csel8_synth_preset_d20; ex272_square_wallace_square_outside_csel5_abc_g_aig
ex273,4,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,797,33,26301,15078,1.744329,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig; ex273_square_hybrid_bddtop4_synth_preset; ex273_square_hybrid_bddtop4_synth_preset_d12; ex273_square_hybrid_bddtop4_synth_preset_d14
ex274,4,ex274_square_hybrid_bddtop2_trunc_synth_preset,985,42,41370,21630,1.912621,ex274_square_hybrid_bddtop2_trunc_synth_preset; ex274_square_hybrid_bddtop2_trunc_synth_preset_d12; ex274_square_hybrid_bddtop2_trunc_synth_preset_d14; ex274_square_hybrid_bddtop2_trunc_synth_preset_d20
ex275,4,ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig,48,7,336,204,1.647059,ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig; ex275_isqrt_prefix4_bitwise_abc_g_NAND; ex275_isqrt_prefix4_bitwise_abc_g_NOR; ex275_isqrt_prefix4_bitwise_abc_g_aig
ex276,4,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10,101,10,1010,632,1.598101,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10; ex276_isqrt_prefix4_ge_bitwise_synth_preset_d6; ex276_isqrt_prefix4_ge_bitwise_synth_preset_d8; ex276_isqrt_prefix4_bitwise_synth_preset
ex277,4,ex277_isqrt_cofbdd4_reverse_synth_preset_d10,237,12,2844,1980,1.436364,ex277_isqrt_cofbdd4_reverse_synth_preset_d10; ex277_isqrt_cofbdd4_reverse_synth_preset_d6; ex277_isqrt_cofbdd4_reverse_synth_preset_d8; ex277_isqrt_prefix6_range_synth_preset
ex278,4,ex278_isqrt_prefix5_range_synth_preset_d10,502,14,7028,5198,1.352058,ex278_isqrt_prefix5_range_synth_preset_d10; ex278_isqrt_prefix5_range_synth_preset_d12; ex278_isqrt_prefix5_range_synth_preset_d16; ex278_isqrt_prefix5_range_synth_preset_d6
ex279,4,ex279_isqrt_radix4_wires_synth_preset_d10,334,42,14028,10952,1.280862,ex279_isqrt_radix4_wires_synth_preset_d10; ex279_isqrt_radix4_wires_synth_preset_d12; ex279_isqrt_radix4_wires_synth_preset_d16; ex279_isqrt_radix4_wires_synth_preset_d8
