case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,OK,87,13,1131,1131,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig,OK,87,13,1131,1131,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig_d20,OK,87,13,1131,1131,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig_d20.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex255,ex255_umul_wallace_bits_prefix_synth_preset,OK,87,13,1131,1131,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_prefix_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex256,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig,OK,159,18,2862,2862,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex256,ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig,OK,159,18,2862,2862,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d13,OK,159,18,2862,2862,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d13.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d14,OK,159,18,2862,2862,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d14.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d18,OK,263,20,5260,5260,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d18.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex257,ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig,OK,254,21,5334,5334,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
