case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_corrlast_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrlast_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrlast_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrlast_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrlast_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrlast_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrlast_hcla4_synth_preset_d11,1,92,14,1288,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrlast_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrlast_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_corrlast_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrlast_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrlast_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_signfirst_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_signfirst_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signfirst_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_signfirst_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_signfirst_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signfirst_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_signfirst_hcla4_synth_preset_d11,1,87,16,1392,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_signfirst_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signfirst_hcla4; flow=synth_preset_d11
