case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex281,ex281_unknown_algebraic_13x13_anf_davio_interleave,unknown_algebraic_13x13,anf_davio_interleave,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/aigs/ex281_unknown_algebraic_13x13_anf_davio_interleave.aig,1,1,1,1478,27,39906,2336,17.083048,0,0,structural_exact,transform=identity; total_terms=3339; unique_terms=994; max_degree=4; max_bit_terms=523; davio_order=interleave; davio_nodes=853,2.734,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_anf_shared_best_transform,unknown_algebraic_13x13,anf_shared_best_transform,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_shared_best_transform.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/aigs/ex281_unknown_algebraic_13x13_anf_shared_best_transform.aig,1,1,1,4378,42,183876,2336,78.714041,0,0,structural_exact,transform=ungray; total_terms=1892; unique_terms=545; max_degree=4; max_bit_terms=230,5.746,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_support_lut12_anf,unknown_algebraic_13x13,support_lut12_anf,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_support_lut12_anf.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/aigs/ex281_unknown_algebraic_13x13_support_lut12_anf.aig,1,1,1,9000,24,216000,2336,92.465753,0,0,structural_exact,support_lut_bits=4; max_support_lut=12; max_support_seen=13; anf_total_terms=3339; anf_unique_terms=994; anf_max_degree=4,6.383,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_davio_interleave,unknown_algebraic_14x14,anf_davio_interleave,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/aigs/ex282_unknown_algebraic_14x14_anf_davio_interleave.aig,1,1,1,1634,31,50654,2704,18.732988,0,0,structural_exact,transform=identity; total_terms=4266; unique_terms=1340; max_degree=4; max_bit_terms=705; davio_order=interleave; davio_nodes=967,5.712,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_shared_best_transform,unknown_algebraic_14x14,anf_shared_best_transform,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_shared_best_transform.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/aigs/ex282_unknown_algebraic_14x14_anf_shared_best_transform.aig,1,1,1,5223,47,245481,2704,90.784393,0,0,structural_exact,transform=ungray; total_terms=2344; unique_terms=680; max_degree=4; max_bit_terms=268,11.611,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_support_lut12_anf,unknown_algebraic_14x14,support_lut12_anf,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_support_lut12_anf.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/aigs/ex282_unknown_algebraic_14x14_support_lut12_anf.aig,1,1,1,11626,24,279024,2704,103.189349,0,0,structural_exact,support_lut_bits=5; max_support_lut=12; max_support_seen=14; anf_total_terms=4266; anf_unique_terms=1340; anf_max_degree=4,11.209,unknown function algebraic Verilog seed
ex283,ex283_unknown_algebraic_15x15_anf_davio_interleave,unknown_algebraic_15x15,anf_davio_interleave,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/verilog/ex283_unknown_algebraic_15x15_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/aigs/ex283_unknown_algebraic_15x15_anf_davio_interleave.aig,1,1,1,1992,34,67728,3168,21.378788,0,0,structural_exact,transform=identity; total_terms=6293; unique_terms=1785; max_degree=4; max_bit_terms=929; davio_order=interleave; davio_nodes=1135,15.507,unknown function algebraic Verilog seed
ex283,ex283_unknown_algebraic_15x15_anf_shared_best_transform,unknown_algebraic_15x15,anf_shared_best_transform,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/verilog/ex283_unknown_algebraic_15x15_anf_shared_best_transform.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/aigs/ex283_unknown_algebraic_15x15_anf_shared_best_transform.aig,1,1,1,6056,48,290688,3168,91.757576,0,0,structural_exact,transform=ungray; total_terms=2834; unique_terms=791; max_degree=4; max_bit_terms=294,25.060,unknown function algebraic Verilog seed
ex283,ex283_unknown_algebraic_15x15_support_lut12_anf,unknown_algebraic_15x15,support_lut12_anf,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/verilog/ex283_unknown_algebraic_15x15_support_lut12_anf.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/aigs/ex283_unknown_algebraic_15x15_support_lut12_anf.aig,1,1,1,16751,26,435526,3168,137.476641,0,0,structural_exact,support_lut_bits=4; max_support_lut=12; max_support_seen=15; anf_total_terms=6293; anf_unique_terms=1785; anf_max_degree=4,23.255,unknown function algebraic Verilog seed
ex284,ex284_unknown_algebraic_16x16_anf_davio_interleave,unknown_algebraic_16x16,anf_davio_interleave,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex284/verilog/ex284_unknown_algebraic_16x16_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex284/aigs/ex284_unknown_algebraic_16x16_anf_davio_interleave.aig,1,1,1,2198,38,83524,4240,19.699057,0,0,structural_exact,transform=identity; total_terms=7732; unique_terms=2319; max_degree=4; max_bit_terms=1195; davio_order=interleave; davio_nodes=1259,38.574,unknown function algebraic Verilog seed
