case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_column_count_case_abc_g_aig,unsigned_square_x_times_x,column_count_case+abc_g_aig,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/verilog/ex270_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/aigs/ex270_square_column_count_case_abc_g_aig.aig,1,1,1,223,41,9143,2076,4.404143,0,0,0.517,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=column_count_case; flow=abc_g_aig
ex270,ex270_square_column_count_case_wreduce_abc_g_aig,unsigned_square_x_times_x,column_count_case+wreduce_abc_g_aig,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/verilog/ex270_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/aigs/ex270_square_column_count_case_wreduce_abc_g_aig.aig,1,1,1,223,41,9143,2076,4.404143,0,0,0.487,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=column_count_case; flow=wreduce_abc_g_aig
ex270,ex270_square_column_count_case_synth_preset,unsigned_square_x_times_x,column_count_case+synth_preset,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/verilog/ex270_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex270/aigs/ex270_square_column_count_case_synth_preset.aig,1,1,1,220,40,8800,2076,4.238921,0,0,0.603,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=column_count_case; flow=synth_preset
ex271,ex271_square_column_count_case_abc_g_aig,unsigned_square_x_times_x,column_count_case+abc_g_aig,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/verilog/ex271_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/aigs/ex271_square_column_count_case_abc_g_aig.aig,1,1,1,435,66,28710,5542,5.180440,0,0,0.843,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=column_count_case; flow=abc_g_aig
ex271,ex271_square_column_count_case_wreduce_abc_g_aig,unsigned_square_x_times_x,column_count_case+wreduce_abc_g_aig,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/verilog/ex271_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/aigs/ex271_square_column_count_case_wreduce_abc_g_aig.aig,1,1,1,435,66,28710,5542,5.180440,0,0,0.811,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=column_count_case; flow=wreduce_abc_g_aig
ex271,ex271_square_column_count_case_synth_preset,unsigned_square_x_times_x,column_count_case+synth_preset,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/verilog/ex271_square_column_count_case.v,student/work/ex270_ex271_square_columncase_20260609_1138/ex271/aigs/ex271_square_column_count_case_synth_preset.aig,1,1,1,433,66,28578,5542,5.156622,0,0,1.053,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=column_count_case; flow=synth_preset
