case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_sop_qm_abc_g_aig,unsigned low4_high4:a/b dbz=max,sop_qm+abc_g_aig,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/verilog/ex265_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/aigs/ex265_udiv_sop_qm_abc_g_aig.aig,1,1,1,85,9,765,322,2.375776,0,0,0.188,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=sop_qm; flow=abc_g_aig
ex265,ex265_udiv_sop_qm_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,sop_qm+wreduce_abc_g_aig,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/verilog/ex265_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/aigs/ex265_udiv_sop_qm_wreduce_abc_g_aig.aig,1,1,1,85,9,765,322,2.375776,0,0,0.191,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=sop_qm; flow=wreduce_abc_g_aig
ex265,ex265_udiv_sop_qm_synth_preset,unsigned low4_high4:a/b dbz=max,sop_qm+synth_preset,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/verilog/ex265_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/aigs/ex265_udiv_sop_qm_synth_preset.aig,1,1,1,85,9,765,322,2.375776,0,0,0.237,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=sop_qm; flow=synth_preset
ex265,ex265_udiv_sop_qm_synth_preset_d18,unsigned low4_high4:a/b dbz=max,sop_qm+synth_preset_d18,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/verilog/ex265_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/aigs/ex265_udiv_sop_qm_synth_preset_d18.aig,1,1,1,85,9,765,322,2.375776,0,0,0.239,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=sop_qm; flow=synth_preset_d18
ex265,ex265_udiv_sop_qm_synth_preset_d24,unsigned low4_high4:a/b dbz=max,sop_qm+synth_preset_d24,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/verilog/ex265_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex265/aigs/ex265_udiv_sop_qm_synth_preset_d24.aig,1,1,1,85,9,765,322,2.375776,0,0,0.238,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=sop_qm; flow=synth_preset_d24
ex266,ex266_udiv_sop_qm_abc_g_aig,unsigned low5_high5:a/b dbz=max,sop_qm+abc_g_aig,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/verilog/ex266_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/aigs/ex266_udiv_sop_qm_abc_g_aig.aig,1,1,1,256,12,3072,848,3.622642,0,0,0.273,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=sop_qm; flow=abc_g_aig
ex266,ex266_udiv_sop_qm_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,sop_qm+wreduce_abc_g_aig,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/verilog/ex266_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/aigs/ex266_udiv_sop_qm_wreduce_abc_g_aig.aig,1,1,1,256,12,3072,848,3.622642,0,0,0.284,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=sop_qm; flow=wreduce_abc_g_aig
ex266,ex266_udiv_sop_qm_synth_preset,unsigned low5_high5:a/b dbz=max,sop_qm+synth_preset,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/verilog/ex266_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/aigs/ex266_udiv_sop_qm_synth_preset.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.375,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=sop_qm; flow=synth_preset
ex266,ex266_udiv_sop_qm_synth_preset_d18,unsigned low5_high5:a/b dbz=max,sop_qm+synth_preset_d18,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/verilog/ex266_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/aigs/ex266_udiv_sop_qm_synth_preset_d18.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.374,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=sop_qm; flow=synth_preset_d18
ex266,ex266_udiv_sop_qm_synth_preset_d24,unsigned low5_high5:a/b dbz=max,sop_qm+synth_preset_d24,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/verilog/ex266_udiv_sop_qm.v,student/work/ex265_ex266_frontend_udiv_sop_qm_20260609_0955/ex266/aigs/ex266_udiv_sop_qm_synth_preset_d24.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.376,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=sop_qm; flow=synth_preset_d24
