case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_abs_sign_direct_abc_g_aig,1,103,18,1854,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_direct_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=abc_g_aig
ex260,ex260_smul_abs_sign_direct_wreduce_abc_g_aig,1,103,18,1854,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_direct_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=wreduce_abc_g_aig
ex260,ex260_smul_abs_sign_direct_arith_wreduce_aig,1,103,18,1854,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_direct_arith_wreduce_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=arith_wreduce_aig
ex260,ex260_smul_abs_sign_direct_synth_preset_d9,1,103,18,1854,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_direct_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=synth_preset_d9
ex260,ex260_smul_abs_sign_direct_synth_preset_d13,1,103,18,1854,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_direct_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=synth_preset_d13
ex260,ex260_smul_abs_sign_wallace_abc_g_aig,1,104,18,1872,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=abc_g_aig
ex260,ex260_smul_abs_sign_wallace_wreduce_abc_g_aig,1,104,18,1872,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_wallace_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_abs_sign_wallace_arith_wreduce_aig,1,104,18,1872,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_wallace_arith_wreduce_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=arith_wreduce_aig
ex260,ex260_smul_abs_sign_wallace_synth_preset_d9,1,104,18,1872,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d9
ex260,ex260_smul_abs_sign_wallace_synth_preset_d13,1,104,18,1872,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d13
ex260,ex260_smul_case_small_signed_abc_g_aig,1,205,12,2460,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_case_small_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=case_small_signed; flow=abc_g_aig
ex260,ex260_smul_case_small_signed_wreduce_abc_g_aig,1,205,12,2460,student/work/ex260_frontend_smul_alt_replay_20260609_1812/ex260/aigs/ex260_smul_case_small_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=case_small_signed; flow=wreduce_abc_g_aig
