case,domain,round2_candidates,round2_best_candidate,round2_best_adp,frontend_best_adp_after_round2,reference_adp,ratio_to_reference,beats_reference,round2_improved_frontend,next_recommendation
ex200,bf16,1,ex200_bf16_sparse_residual_hilo3_abc_g_aig,54405,54405,40052,1.316788,0,1,rethink high-level description and shared-structure RTL
ex204,bf16,1,ex204_bf16_sparse_residual_hilo3_abc_g_gates,31995,25670,15180,1.393281,0,0,rethink high-level description and shared-structure RTL
ex205,bf16,1,ex205_bf16_sparse_residual_hilo3_abc_g_aig,72208,71104,47128,1.378034,0,0,rethink high-level description and shared-structure RTL
ex223,fp16,1,ex223_log_sparse_residual_low14_hi5_abc_g_aig,204402,204193,120549,1.571709,0,0,rethink high-level description and shared-structure RTL
ex224,fp16,1,ex224_log_sparse_residual_low12_hi6_abc_g_aig,102306,96224,64708,1.372319,0,0,rethink high-level description and shared-structure RTL
ex225,fp16,1,ex225_log_sparse_residual_low14_hi5_abc_g_aig,218728,218728,116676,1.762625,0,1,rethink high-level description and shared-structure RTL
ex240,float_fp8,1,ex240_semantic_add_same_delta_diff_param8_synth_preset_aig_round2priority,38900,30090,13299,1.582525,0,0,rethink high-level description and shared-structure RTL
ex241,float_fp8,2,ex241_semantic_mul_product_param_exception_synth_preset_aig_round2priority,21360,15544,7224,1.604651,0,0,rethink high-level description and shared-structure RTL
ex242,float_fp8,2,ex242_semantic_div_formula_bit_exception_synth_preset_aig_round2priority,33200,25320,11900,1.557983,0,0,rethink high-level description and shared-structure RTL
ex244,float_fp8,2,ex244_semantic_hypot_threshold_packed_synth_preset_aig_round2priority,11154,10234,4272,2.089888,0,0,rethink high-level description and shared-structure RTL
ex245,float_fp8,2,ex245_semantic_add_split_bdd_interleave_synth_preset_aig_round2priority,41125,23834,11050,1.567330,0,0,rethink high-level description and shared-structure RTL
ex246,float_fp8,2,ex246_semantic_mul_product_bound_smallpat_seed12_set11to10_synth_preset_aig_round2priority,10140,7502,2805,2.133333,0,0,rethink high-level description and shared-structure RTL
ex247,float_fp8,2,ex247_semantic_div_sigpair_class_synth_preset_aig_round2priority,9240,9125,2975,2.287059,0,0,rethink high-level description and shared-structure RTL
ex248,float_fp8,2,ex248_semantic_fmod_modsig_nested_delta_synth_preset_aig_round2priority,15232,8550,4180,1.463158,0,0,rethink high-level description and shared-structure RTL
ex249,float_fp8,2,ex249_semantic_hypot_threshold_formula_synth_preset_aig_round2priority,6012,4368,2079,1.606061,0,0,rethink high-level description and shared-structure RTL
ex253,float_fp8,2,ex253_semantic_u2_sum8_balanced_laneqcase_synth_preset_aig_round2priority,3321,2268,1845,1.219512,0,0,rethink high-level description and shared-structure RTL
ex256,integer,4,ex256_ex256_low4_highcarry_csa_synth_preset_d18,3750,2844,1911,1.459969,0,0,rethink high-level description and shared-structure RTL
ex260,integer,4,ex260_ex260_shared_cube_product_synth_preset_d10,2310,1144,657,1.622527,0,0,rethink high-level description and shared-structure RTL
ex261,integer,2,ex261_ex261_signcof_shared_cube_synth_preset_d13,12285,2952,2041,1.375796,0,0,rethink high-level description and shared-structure RTL
ex266,integer,4,ex266_ex266_bhi2_a43_shared_cube_wordmux_synth_preset_d10,1660,1480,848,1.528302,0,0,rethink high-level description and shared-structure RTL
ex270,integer,3,ex270_ex270_square_counter4x_csel4_synth_preset_d18,4095,3230,2076,1.342004,0,0,rethink high-level description and shared-structure RTL
ex276,integer,3,ex276_ex276_prefix4_shared_cube_abc_g_aig,1210,1010,632,1.424051,0,0,rethink high-level description and shared-structure RTL
