case,domain,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,evaluate_log,equivalent,simulation_pass,area,delay,adp,frontend_best_adp,new_best_adp,old_best_adp,old_frontend_adp,reference_adp,improvement_vs_frontend,beats_reference,notes
ex225,fp16,unary-agent,ex225_log_sparse_residual_low14_hi5_abc_g_aig,ex225|fp16_log_family_sparse_residual_compression|sparse_per_hi_low14_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low14_residual,fp16_log_family_sparse_residual_compression,sparse_per_hi_low14_residual_defaults,shared_special_sign_exp_decode_plus_high_bit_run_trees,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/aigs/ex225_log_sparse_residual_low14_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/official_eval/ex225_log_sparse_residual_low14_hi5_abc_g_aig.evaluate.py.log,1,not_run,11512,19,218728,218728,218728,219070,219070,116676,342,0,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
ex200,bf16,unary-agent,ex200_bf16_sparse_residual_hilo3_abc_g_aig,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,bf16_exp_sparse_residual_compression,sparse_signexp_hilo3_residual_defaults,shared_sign_exp_decode_per_hi_sparse_residual,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/verilog/ex200_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/official_eval/ex200_bf16_sparse_residual_hilo3_abc_g_aig.evaluate.py.log,1,not_run,3627,15,54405,54405,54405,59232,59232,40052,4827,0,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex281,unknown,unknown-gf2-agent,ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,quartic_gf2_event_filter,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_linear_corrections,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/verilog/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/aigs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/logs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,1,1,166,29,4814,4814,4814,5474,5474,2336,660,0,proposed by unknown-gf2-agent
ex282,unknown,unknown-gf2-agent,ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex282|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,quartic_gf2_event_filter,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_linear_corrections,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex282/verilog/ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex282/aigs/ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex282/logs/ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,1,1,165,31,5115,5115,5115,6336,6336,2704,1221,0,proposed by unknown-gf2-agent
ex280,unknown,unknown-gf2-agent,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,quartic_gf2_event_filter,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_linear_corrections,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/verilog/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/logs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,1,1,135,29,3915,3915,3915,4712,4712,2415,797,0,proposed by unknown-gf2-agent
ex283,unknown,unknown-gf2-agent,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex283|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,quartic_gf2_event_filter,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_linear_corrections,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/verilog/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/aigs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/logs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,1,1,161,30,4830,4830,4830,6516,6516,3168,1686,0,proposed by unknown-gf2-agent
ex284,unknown,unknown-gf2-agent,ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,quartic_gf2_event_filter,overlap_root_product_basis_wide_roots,shared_overlapping_linear_roots_with_linear_corrections,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/verilog/ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/aigs/ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/logs/ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig.evaluate.log,1,1,179,39,6981,6981,6981,7800,7800,4240,819,0,proposed by unknown-gf2-agent
