round,run_id,agent_id,case,domain,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,method_signature,reference_adp,frontend_best_adp,target_adp,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,log_path,official_status,simulation_pass,beats_frontend,beats_target,shard_csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex204,bf16,ex204_r96_full_shell_mh4_abc_g_gates,1,2020,16,32320,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/verilog/ex204_r96_full_shell_mh4_abc_g_gates.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/official_eval/ex204_r96_full_shell_mh4_abc_g_gates/ex204.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/logs/ex204_r96_full_shell_mh4_abc_g_gates.evaluate.py.log,,full BF16 sign_exp shell with mantissa bucket residuals; mant_hi_bits=4; const_sign_exp_groups=257; variable_sign_exp_groups=255; bucket_groups=4080; dense_entries=32640; residual_entries=3097; top_default=16'h7fc0; official evaluate.py OK; synth_runtime_sec=5.011; eval_runtime_sec=0.996,ex204|round96_bf16_field_descriptor_second_pass|bf16_log2|full_shell_mantbucket_mh4|shared constant special shell plus compact residual output groups|yosys_frontend_abc_g_gates|abc_read_truth_xf,15180,24576,22769,bf16_log_field_descriptor,bf16_log2,special-shell sign-exp descriptor with mantissa bucket residuals,shared constant special shell plus compact residual output groups,shared constant special shell plus compact residual output groups,yosys_frontend_abc_g_gates,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/logs/ex204_r96_full_shell_mh4_abc_g_gates.yosys.log,OK,not_run,0,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex216,bf16,ex216_r96_signed_mag_mh4_abc_g_aig,1,732,14,10248,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/verilog/ex216_r96_signed_mag_mh4_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/official_eval/ex216_r96_signed_mag_mh4_abc_g_aig/ex216.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/logs/ex216_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=170; variable_exp_groups=86; bucket_groups=1376; dense_entries=11008; residual_entries=9476; sign_shell_overrides=127; top_mag_default=15'h7f80; official evaluate.py OK; synth_runtime_sec=8.566; eval_runtime_sec=0.522,ex216|round96_bf16_field_descriptor_second_pass|bf16_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,3357,5772,5035,bf16_power_field_descriptor,bf16_cube,odd sign shell with exponent classes and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,shared sign/special shell plus positive-magnitude residual groups,yosys_frontend_abc_g_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/logs/ex216_r96_signed_mag_mh4_abc_g_aig.yosys.log,OK,not_run,0,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex218,bf16,ex218_r96_signed_mag_mh4_abc_g_aig,1,761,13,9893,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/verilog/ex218_r96_signed_mag_mh4_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/official_eval/ex218_r96_signed_mag_mh4_abc_g_aig/ex218.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/logs/ex218_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=169; variable_exp_groups=87; bucket_groups=1392; dense_entries=11136; residual_entries=9493; sign_shell_overrides=127; top_mag_default=15'h0000; official evaluate.py OK; synth_runtime_sec=8.953; eval_runtime_sec=0.482,ex218|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,3222,5941,4832,bf16_power_field_descriptor,bf16_reciprocal_cube,odd sign shell with reciprocal-cube exponent bucket residuals,shared sign/special shell plus positive-magnitude residual groups,shared sign/special shell plus positive-magnitude residual groups,yosys_frontend_abc_g_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/logs/ex218_r96_signed_mag_mh4_abc_g_aig.yosys.log,OK,not_run,0,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex219,bf16,ex219_r96_signed_mag_mh3_abc_g_aig,1,1063,13,13819,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/verilog/ex219_r96_signed_mag_mh3_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/official_eval/ex219_r96_signed_mag_mh3_abc_g_aig/ex219.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/logs/ex219_r96_signed_mag_mh3_abc_g_aig.evaluate.py.log,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=3; const_exp_groups=1; variable_exp_groups=255; bucket_groups=2040; dense_entries=32640; residual_entries=25069; sign_shell_overrides=127; top_mag_default=15'h7f80; official evaluate.py OK; synth_runtime_sec=8.038; eval_runtime_sec=2.002,ex219|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cbrt|signed_mag_mantbucket_mh3|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,5640,9212,8459,bf16_power_field_descriptor,bf16_reciprocal_cbrt,odd sign shell with exp-mod3 prior and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,shared sign/special shell plus positive-magnitude residual groups,yosys_frontend_abc_g_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/logs/ex219_r96_signed_mag_mh3_abc_g_aig.yosys.log,OK,not_run,0,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex205,bf16,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15,1,4444,16,71104,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15/ex205.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205|round96_bf16_smallgap_source_flow|bf16_log10_field_decode|current field-decode source with abc_g_aig_d15|source_to_aig_frontend_only|abc_read_truth_xf,47128,71104,70691,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex205,bf16,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16,1,4444,16,71104,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16/ex205.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205|round96_bf16_smallgap_source_flow|bf16_log10_field_decode|current field-decode source with abc_g_aig_d16|source_to_aig_frontend_only|abc_read_truth_xf,47128,71104,70691,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex205,bf16,ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,1,4465,16,71440,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig/ex205.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205|round96_bf16_smallgap_source_flow|bf16_log10_field_decode|current field-decode source with extra_opt_aig|source_to_aig_frontend_only|abc_read_truth_xf,47128,71104,70691,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex205,bf16,ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig,1,4444,16,71104,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig/ex205.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; replace selected bit15 casez tree with decoded sign/exp comparator formula,ex205|round96_bf16_smallgap_source_flow|bf16_log10_selected_sign_formula|decoded exponent formula for bit15 plus abc_g_aig|source_to_aig_frontend_only|abc_read_truth_xf,47128,71104,70691,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex214,bf16,ex214_r96_bf16_recip_square_current_abc_g_aig,1,337,11,3707,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig/ex214.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214|round96_bf16_smallgap_source_flow|bf16_reciprocal_square_default_exception|current selected-bit13 source with abc_g_aig|source_to_aig_frontend_only|abc_read_truth_xf,2424,3707,3635,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-smallgap-flow-r96,ex214,bf16,ex214_r96_bf16_recip_square_current_abc_g_aig_d10,1,337,11,3707,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig_d10.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig_d10/ex214.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig_d10.evaluate.py.log,OK,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214|round96_bf16_smallgap_source_flow|bf16_reciprocal_square_default_exception|current selected-bit13 source with abc_g_aig_d10|source_to_aig_frontend_only|abc_read_truth_xf,2424,3707,3635,,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/evaluation_results.csv
