round,run_id,agent_id,case,domain,candidate_id,simulation_tool,status,patterns,log_path,notes,method_signature,simulation_status,vectors,shard_csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex204,,ex204_r96_full_shell_mh4_abc_g_gates,,,,,official evaluate.py used as final exhaustive equivalence/ADP check,,not_run,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/simulation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex216,,ex216_r96_signed_mag_mh4_abc_g_aig,,,,,official evaluate.py used as final exhaustive equivalence/ADP check,,not_run,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/simulation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex218,,ex218_r96_signed_mag_mh4_abc_g_aig,,,,,official evaluate.py used as final exhaustive equivalence/ADP check,,not_run,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/simulation_results.csv
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex219,,ex219_r96_signed_mag_mh3_abc_g_aig,,,,,official evaluate.py used as final exhaustive equivalence/ADP check,,not_run,0,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d10,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d11,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d12,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_extra_opt_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig,,not_run,,,official evaluate.py used for final validity,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/simulation_results.csv
