case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi1_wordmux+abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi1_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig.aig,1,1,1,176,12,2112,848,2.490566,0,0,0.270,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi1_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi1_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi1_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi1_wordmux_wreduce_abc_g_aig.aig,1,1,1,176,12,2112,848,2.490566,0,0,0.276,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi1_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi1_wordmux+synth_preset,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi1_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi1_wordmux_synth_preset.aig,1,1,1,169,10,1690,848,1.992925,0,0,0.353,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi1_wordmux; flow=synth_preset
ex266,ex266_udiv_cof_bhi4_a_hi2_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi2_wordmux+abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi2_wordmux_abc_g_aig.aig,1,1,1,167,10,1670,848,1.969340,0,0,0.304,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi2_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi4_a_hi2_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi2_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi2_wordmux_wreduce_abc_g_aig.aig,1,1,1,167,10,1670,848,1.969340,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi2_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi4_a_hi2_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi2_wordmux+synth_preset,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi4_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi4_a_hi2_wordmux_synth_preset.aig,1,1,1,176,11,1936,848,2.283019,0,0,0.370,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi2_wordmux; flow=synth_preset
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_bmid1_a_hi2_wordmux+abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_abc_g_aig.aig,1,1,1,167,10,1670,848,1.969340,0,0,0.301,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_bmid1_a_hi2_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_bmid1_a_hi2_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_wreduce_abc_g_aig.aig,1,1,1,167,10,1670,848,1.969340,0,0,0.312,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_bmid1_a_hi2_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_bmid1_a_hi2_wordmux+synth_preset,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/verilog/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex266/aigs/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_synth_preset.aig,1,1,1,176,11,1936,848,2.283019,0,0,0.376,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_bmid1_a_hi2_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi1_wordmux+abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex267/verilog/ex267_udiv_cof_bhi4_a_hi1_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex267/aigs/ex267_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig.aig,1,1,1,357,14,4998,2651,1.885326,0,0,0.362,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi1_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi4_a_hi1_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi1_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex267/verilog/ex267_udiv_cof_bhi4_a_hi1_wordmux.v,student/work/ex266_ex267_frontend_udiv_deeper_selector_20260609_1750/ex267/aigs/ex267_udiv_cof_bhi4_a_hi1_wordmux_wreduce_abc_g_aig.aig,1,1,1,357,14,4998,2651,1.885326,0,0,0.351,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi1_wordmux; flow=wreduce_abc_g_aig
