case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_0_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_0_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_0_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_0_cmp_fix5.aig,1,1,842,50,42100,53.530,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=0 bit_hi_bits=cmp bit_items=22202
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_1_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_1_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_1_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_1_cmp_fix5.aig,1,1,825,25,20625,27.837,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=1 bit_hi_bits=cmp bit_items=11360
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_2_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_2_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_2_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_2_cmp_fix5.aig,1,1,733,17,12461,19.975,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=2 bit_hi_bits=cmp bit_items=5932
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_3_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_3_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_3_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_3_cmp_fix5.aig,1,1,764,16,12224,14.276,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=3 bit_hi_bits=cmp bit_items=3220
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_4_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_4_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_4_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_4_cmp_fix5.aig,1,1,725,16,11600,13.503,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=4 bit_hi_bits=cmp bit_items=1864
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_5_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_5_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_5_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_5_cmp_fix5.aig,1,1,725,15,10875,12.318,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=5 bit_hi_bits=cmp bit_items=1186
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_7_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_7_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_7_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_7_cmp_fix5.aig,1,1,756,16,12096,13.397,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=7 bit_hi_bits=cmp bit_items=430
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_8_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_8_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_8_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_8_cmp_fix5.aig,1,1,722,16,11552,13.819,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=8 bit_hi_bits=cmp bit_items=300
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_9_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_9_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_9_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_9_cmp_fix5.aig,1,1,740,16,11840,12.850,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=9 bit_hi_bits=cmp bit_items=172
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_10_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_10_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_10_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_10_cmp_fix5.aig,1,1,732,16,11712,11.525,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=10 bit_hi_bits=cmp bit_items=90
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_11_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_11_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_11_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_11_cmp_fix5.aig,1,1,703,16,11248,12.919,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=11 bit_hi_bits=cmp bit_items=60
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_12_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_12_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_12_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_12_cmp_fix5.aig,1,1,688,15,10320,12.517,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=12 bit_hi_bits=cmp bit_items=34
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_13_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_13_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_13_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_13_cmp_fix5.aig,1,1,736,16,11776,12.876,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=13 bit_hi_bits=cmp bit_items=28
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_14_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_14_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_14_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_14_cmp_fix5.aig,1,1,672,16,10752,11.406,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=14 bit_hi_bits=cmp bit_items=18
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_15_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_15_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_15_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_15_cmp_fix5.aig,1,1,698,16,11168,10.816,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_0_cmp_fix5,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_bits_0_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_0_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_0_cmp_fix5.aig,1,1,583,45,26235,35.565,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; generic selected bit overrides bits=0 bit_hi_bits=cmp bit_items=11514
