case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_word_pattern_anf_prefix_parity_reduce,3103,28,86884,2415,35.976812,17220,69664,0,prefix_parity_reduce,transform=prefix_parity_reduce; anf_terms=932; word_patterns=413; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11; max_pattern_degree=4; hash=1f2008a67209,unknown masked word-pattern ANF Verilog seed
ex281,ex281_unknown_word_pattern_anf_prefix_parity_reduce,3634,27,98118,2336,42.002568,20592,77526,0,prefix_parity_reduce,transform=prefix_parity_reduce; anf_terms=1160; word_patterns=527; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12; max_pattern_degree=4; hash=212705641a9c,unknown masked word-pattern ANF Verilog seed
ex282,ex282_unknown_word_pattern_anf_prefix_parity_reduce,4050,28,113400,2704,41.937870,28740,84660,0,prefix_parity_reduce,transform=prefix_parity_reduce; anf_terms=1400; word_patterns=645; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13; max_pattern_degree=4; hash=41bef461ae87,unknown masked word-pattern ANF Verilog seed
ex283,ex283_unknown_word_pattern_anf_prefix_parity_reduce,4438,30,133140,3168,42.026515,34317,98823,0,prefix_parity_reduce,transform=prefix_parity_reduce; anf_terms=1676; word_patterns=784; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; max_pattern_degree=4; hash=6bb8108fe41f,unknown masked word-pattern ANF Verilog seed
ex284,ex284_unknown_word_pattern_anf_prefix_parity_reduce,4996,30,149880,4240,35.349057,42624,107256,0,prefix_parity_reduce,transform=prefix_parity_reduce; anf_terms=1964; word_patterns=909; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; max_pattern_degree=4; hash=167078104acf,unknown masked word-pattern ANF Verilog seed
