case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_unknown_word_pattern_anf_prefix_parity_reduce,unknown_word_pattern_anf,prefix_parity_reduce,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex280/verilog/ex280_unknown_word_pattern_anf_prefix_parity_reduce.v,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex280/aigs/ex280_unknown_word_pattern_anf_prefix_parity_reduce.aig,1,1,1,3103,28,86884,2.218,transform=prefix_parity_reduce; anf_terms=932; word_patterns=413; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11; max_pattern_degree=4; hash=1f2008a67209,unknown masked word-pattern ANF Verilog seed,1,86884,0,
ex281,ex281_unknown_word_pattern_anf_prefix_parity_reduce,unknown_word_pattern_anf,prefix_parity_reduce,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex281/verilog/ex281_unknown_word_pattern_anf_prefix_parity_reduce.v,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex281/aigs/ex281_unknown_word_pattern_anf_prefix_parity_reduce.aig,1,1,1,3634,27,98118,3.218,transform=prefix_parity_reduce; anf_terms=1160; word_patterns=527; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12; max_pattern_degree=4; hash=212705641a9c,unknown masked word-pattern ANF Verilog seed,1,98118,0,
ex282,ex282_unknown_word_pattern_anf_prefix_parity_reduce,unknown_word_pattern_anf,prefix_parity_reduce,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex282/verilog/ex282_unknown_word_pattern_anf_prefix_parity_reduce.v,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex282/aigs/ex282_unknown_word_pattern_anf_prefix_parity_reduce.aig,1,1,1,4050,28,113400,4.962,transform=prefix_parity_reduce; anf_terms=1400; word_patterns=645; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13; max_pattern_degree=4; hash=41bef461ae87,unknown masked word-pattern ANF Verilog seed,1,113400,0,
ex283,ex283_unknown_word_pattern_anf_prefix_parity_reduce,unknown_word_pattern_anf,prefix_parity_reduce,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex283/verilog/ex283_unknown_word_pattern_anf_prefix_parity_reduce.v,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex283/aigs/ex283_unknown_word_pattern_anf_prefix_parity_reduce.aig,1,1,1,4438,30,133140,8.604,transform=prefix_parity_reduce; anf_terms=1676; word_patterns=784; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; max_pattern_degree=4; hash=6bb8108fe41f,unknown masked word-pattern ANF Verilog seed,1,133140,0,
ex284,ex284_unknown_word_pattern_anf_prefix_parity_reduce,unknown_word_pattern_anf,prefix_parity_reduce,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex284/verilog/ex284_unknown_word_pattern_anf_prefix_parity_reduce.v,student/work/ex280_ex284_frontend_word_pattern_anf_fix_20260608_2301/ex284/aigs/ex284_unknown_word_pattern_anf_prefix_parity_reduce.aig,1,1,1,4996,30,149880,16.161,transform=prefix_parity_reduce; anf_terms=1964; word_patterns=909; used_offsets=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; max_pattern_degree=4; hash=167078104acf,unknown masked word-pattern ANF Verilog seed,1,149880,0,
