case,candidate_id,verified_truth,synthesized,equivalent,area,delay,adp,verilog_exists,aig_exists,notes
ex280,ex280_prefix_parity_reduce_top6_default_recheck,1,1,1,752,26,19552,1,1,current project Yosys script sanity recheck
ex280,ex280_prefix_parity_reduce_top6_no_internal_abc,1,1,1,1546,24,37104,1,1,skip Yosys internal abc pass
ex280,ex280_prefix_parity_reduce_top6_abc_fast,1,1,1,1538,23,35374,1,1,Yosys abc fast script
ex280,ex280_prefix_parity_reduce_top6_abc_d21,1,1,1,752,26,19552,1,1,Yosys abc delay target 21
ex280,ex280_prefix_parity_reduce_top6_abc_d22,1,1,1,752,26,19552,1,1,Yosys abc delay target 22
ex280,ex280_prefix_parity_reduce_top6_abc_g_simple,1,1,1,824,26,21424,1,1,Yosys abc gate set simple
ex280,ex280_prefix_parity_reduce_top6_abc_g_and_mux,1,1,1,767,26,19942,1,1,"Yosys abc gate set AND,MUX"
ex280,ex280_prefix_parity_reduce_top6_late_flatten,1,1,1,752,26,19552,1,1,move flatten after techmap
ex280,ex280_prefix_parity_reduce_top6_synth_preset_noabc,1,1,1,1543,24,37032,1,1,Yosys synth preset without abc
ex280,ex280_prefix_parity_reduce_top6_abc_g_aig_d18,1,1,1,731,25,18275,1,1,Yosys abc gate set aig delay target 18
ex280,ex280_prefix_parity_reduce_top6_abc_g_aig_d19,1,1,1,731,25,18275,1,1,Yosys abc gate set aig delay target 19
ex280,ex280_prefix_parity_reduce_top6_abc_g_aig_d21,1,1,1,731,25,18275,1,1,Yosys abc gate set aig delay target 21
ex280,ex280_prefix_parity_reduce_top6_abc_g_gates,1,1,1,733,26,19058,1,1,Yosys abc gate set gates
ex280,ex280_prefix_parity_reduce_top6_abc_g_cmos2,1,1,1,766,25,19150,1,1,Yosys abc gate set cmos2
ex282,ex282_prefix_parity_reduce_top6_default_recheck,1,1,1,1020,32,32640,1,1,current project Yosys script sanity recheck
ex282,ex282_prefix_parity_reduce_top6_no_internal_abc,1,1,1,2054,28,57512,1,1,skip Yosys internal abc pass
ex282,ex282_prefix_parity_reduce_top6_abc_fast,1,1,1,2046,28,57288,1,1,Yosys abc fast script
ex282,ex282_prefix_parity_reduce_top6_abc_d21,1,1,1,1020,32,32640,1,1,Yosys abc delay target 21
ex282,ex282_prefix_parity_reduce_top6_abc_d22,1,1,1,1020,32,32640,1,1,Yosys abc delay target 22
ex282,ex282_prefix_parity_reduce_top6_abc_g_simple,1,1,1,1130,33,37290,1,1,Yosys abc gate set simple
ex282,ex282_prefix_parity_reduce_top6_abc_g_and_mux,1,1,1,1046,32,33472,1,1,"Yosys abc gate set AND,MUX"
ex282,ex282_prefix_parity_reduce_top6_late_flatten,1,1,1,1020,32,32640,1,1,move flatten after techmap
ex282,ex282_prefix_parity_reduce_top6_synth_preset_noabc,1,1,1,2050,29,59450,1,1,Yosys synth preset without abc
ex282,ex282_prefix_parity_reduce_top6_abc_g_aig_d18,1,1,1,995,32,31840,1,1,Yosys abc gate set aig delay target 18
ex282,ex282_prefix_parity_reduce_top6_abc_g_aig_d19,1,1,1,995,32,31840,1,1,Yosys abc gate set aig delay target 19
ex282,ex282_prefix_parity_reduce_top6_abc_g_aig_d21,1,1,1,995,32,31840,1,1,Yosys abc gate set aig delay target 21
ex282,ex282_prefix_parity_reduce_top6_abc_g_gates,1,1,1,1000,32,32000,1,1,Yosys abc gate set gates
ex282,ex282_prefix_parity_reduce_top6_abc_g_cmos2,1,1,1,1022,32,32704,1,1,Yosys abc gate set cmos2
