case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex268,ex268_udiv_denom_split_direct_abc_g_aig,1,233,52,12116,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex268,ex268_udiv_denom_split_direct_wreduce_abc_g_aig,1,233,52,12116,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_direct_synth_preset,1,223,51,11373,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex268,ex268_udiv_denom_split_direct_abc_g_aig_d18,1,233,52,12116,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_direct_synth_preset_d18,1,223,51,11373,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset_d18
ex268,ex268_udiv_denom_split_direct_gt_guard_abc_g_aig,1,232,55,12760,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex268,ex268_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,1,232,55,12760,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_direct_gt_guard_synth_preset,1,224,52,11648,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex268,ex268_udiv_denom_split_direct_gt_guard_abc_g_aig_d18,1,232,55,12760,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_direct_gt_guard_synth_preset_d18,1,224,52,11648,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset_d18
ex269,ex269_udiv_denom_split_direct_abc_g_aig,1,337,71,23927,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex269/aigs/ex269_udiv_denom_split_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex269,ex269_udiv_denom_split_direct_wreduce_abc_g_aig,1,337,71,23927,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex269/aigs/ex269_udiv_denom_split_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_split_direct_synth_preset,1,267,77,20559,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex269/aigs/ex269_udiv_denom_split_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
