case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex268,ex268_udiv_denom_split_direct_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_direct+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_abc_g_aig.aig,1,1,1,233,52,12116,7446,1.627182,0,0,0.496,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex268,ex268_udiv_denom_split_direct_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_direct+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_wreduce_abc_g_aig.aig,1,1,1,233,52,12116,7446,1.627182,0,0,0.503,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_direct_synth_preset,unsigned low7_high7:a/b dbz=max,denom_split_direct+synth_preset,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_synth_preset.aig,1,1,1,223,51,11373,7446,1.527397,0,0,0.557,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex268,ex268_udiv_denom_split_direct_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,denom_split_direct+abc_g_aig_d18,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_abc_g_aig_d18.aig,1,1,1,233,52,12116,7446,1.627182,0,0,0.517,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_direct_synth_preset_d18,unsigned low7_high7:a/b dbz=max,denom_split_direct+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_synth_preset_d18.aig,1,1,1,223,51,11373,7446,1.527397,0,0,0.568,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset_d18
ex268,ex268_udiv_denom_split_direct_gt_guard_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_direct_gt_guard+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,1,1,1,232,55,12760,7446,1.713672,0,0,0.518,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex268,ex268_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_direct_gt_guard+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,232,55,12760,7446,1.713672,0,0,0.521,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_direct_gt_guard_synth_preset,unsigned low7_high7:a/b dbz=max,denom_split_direct_gt_guard+synth_preset,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_synth_preset.aig,1,1,1,224,52,11648,7446,1.564330,0,0,0.548,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex268,ex268_udiv_denom_split_direct_gt_guard_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,denom_split_direct_gt_guard+abc_g_aig_d18,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_abc_g_aig_d18.aig,1,1,1,232,55,12760,7446,1.713672,0,0,0.514,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_direct_gt_guard_synth_preset_d18,unsigned low7_high7:a/b dbz=max,denom_split_direct_gt_guard+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/verilog/ex268_udiv_denom_split_direct_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex268/aigs/ex268_udiv_denom_split_direct_gt_guard_synth_preset_d18.aig,1,1,1,224,52,11648,7446,1.564330,0,0,0.547,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset_d18
ex269,ex269_udiv_denom_split_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_split_direct+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex269/verilog/ex269_udiv_denom_split_direct.v,student/work/ex268_ex269_frontend_udiv_split_direct_20260609_0905/ex269/aigs/ex269_udiv_denom_split_direct_abc_g_aig.aig,1,1,1,337,71,23927,11760,2.034609,0,0,0.639,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
