case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_rank,222,30,6660,2415,2.757764,4712,1948,0,prefix_parity_full_clamp_simplified_rank,transform=prefix_parity; coord_mode=full_clamp_simplified; style=rank; coord_width=17; candidate_basis=0; raw_pair_terms=156; selected_terms=21; unique_products=20; compound_products=20; linear_forms=28; correction_bits=8; terms_by_bit=1:1:1:1:1:1:1:2:3:3:3:3; hash=cf0d02cd95fb,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_rank,308,36,11088,4240,2.615094,7800,3288,0,prefix_parity_reduce_full_clamp_simplified_rank,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=rank; coord_width=21; candidate_basis=0; raw_pair_terms=268; selected_terms=25; unique_products=24; compound_products=24; linear_forms=36; correction_bits=12; terms_by_bit=1:1:1:1:1:1:1:1:1:1:1:2:3:3:3:3; hash=41fbafc802be,unknown quadratic shared-compressor Verilog seed
