case,best_candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp_before_update,delta_vs_current_before_update,notes
ex280,ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top7,1019,33,33627,2415,13.924224,17220,16407,unknown transformed-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top7,1249,30,37470,2704,13.857249,31512,5958,unknown transformed-key cofactor-BDD Verilog seed
