case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top7,unknown_key_cofactor_bdd,prefix_parity_reduce_top7,student/work/ex280_ex282_frontend_bdd_key_cofactor_top7_20260608_1821/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top7.v,student/work/ex280_ex282_frontend_bdd_key_cofactor_top7_20260608_1821/ex280/aigs/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top7.aig,1,1,1,1019,33,33627,1.450,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2:9:3; inner_bits=4:5:6:7:8; group_bdd_nodes=24:30:30:34:34:30:34:34:30:34:30:30:30:30:30:27:45:45:45:44:46:43:43:46:45:40:45:45:44:44:44:42:32:35:35:37:35:33:35:32:32:37:32:35:37:37:37:35:44:44:44:38:43:44:43:43:44:38:44:44:39:45:39:42:38:41:41:43:43:41:40:43:41:43:41:41:41:41:41:41:36:36:36:37:37:36:37:37:36:36:36:36:36:36:36:30:40:40:40:41:39:42:39:34:40:41:40:40:42:42:42:39:42:38:42:36:40:43:40:40:42:36:42:42:41:44:41:39; total_group_bdd_nodes=4954; hash=74fb003d64d3,unknown transformed-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top7,unknown_key_cofactor_bdd,prefix_parity_reduce_top7,student/work/ex280_ex282_frontend_bdd_key_cofactor_top7_20260608_1821/ex282/verilog/ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top7.v,student/work/ex280_ex282_frontend_bdd_key_cofactor_top7_20260608_1821/ex282/aigs/ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top7.aig,1,1,1,1249,30,37470,3.889,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2:11:3; inner_bits=4:5:6:7:8:9:10; group_bdd_nodes=77:84:84:86:86:84:86:86:84:86:84:84:84:84:84:79:124:124:124:123:125:122:122:125:124:119:124:124:123:123:123:121:91:94:94:97:94:93:94:91:91:97:91:94:97:97:97:94:125:125:125:120:127:125:127:127:125:120:125:125:119:126:119:126:120:124:124:121:121:124:118:121:124:121:124:124:124:124:124:118:94:94:94:95:95:94:95:95:94:95:94:94:95:95:95:87:126:126:126:123:126:123:126:119:126:123:126:126:123:123:123:126:106:102:106:100:103:106:103:103:106:100:106:106:103:107:103:102; total_group_bdd_nodes=13918; hash=618f7820a43e,unknown transformed-key cofactor-BDD Verilog seed
