case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex287,ex287_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f10_k3.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f10_k3.aig,1,1,1,1800,18,32400,2.554,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:13:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=8; group_nodes=324:337:311:337:353:297:353:331; total_group_nodes=2643; hash=78baf5175b1a",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f10_k4.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f10_k4.aig,1,1,1,1734,17,29478,2.526,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=230:242:216:220:266:215:227:199:209:206:211:228:213:192:257:243; total_group_nodes=3574; hash=c56105a73c40",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f10_k5.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f10_k5.aig,1,1,1,1866,16,29856,2.620,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=166:158:155:142:190:147:149:125:118:134:117:137:136:125:161:160:154:146:142:142:167:153:149:142:157:134:162:153:136:119:178:163; total_group_nodes=4717; hash=4b677f211695",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k6,unknown_symmetry_cofactor_classonehot,interleave_f10_k6,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f10_k6.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f10_k6.aig,1,1,1,2081,16,33296,2.886,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; classes=64; group_nodes=104:89:90:73:93:65:94:62:71:89:72:90:72:87:97:119:73:96:75:96:81:91:82:92:93:65:100:65:82:69:133:122:96:96:87:96:133:96:82:79:57:65:52:65:82:55:81:55:92:74:83:73:118:94:94:76:80:89:75:104:72:55:71:55; total_group_nodes=5364; hash=c0fdaff34ad5",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k3.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f00_k3.aig,1,1,1,1749,18,31482,2.463,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:13:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=8; group_nodes=295:304:276:296:315:261:305:282; total_group_nodes=2334; hash=3d55026d2502",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k4.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f00_k4.aig,1,1,1,1722,17,29274,2.413,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=202:210:186:190:228:179:190:163:180:179:183:194:184:161:212:194; total_group_nodes=3035; hash=722cacbdae35",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f00_k5.aig,1,1,1,1845,15,27675,2.500,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=138:138:129:124:162:117:124:96:104:111:104:114:119:106:133:125:133:119:125:113:135:119:119:109:129:114:134:127:110:92:133:117; total_group_nodes=3872; hash=c7f8d1ec4444",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k6,unknown_symmetry_cofactor_classonehot,interleave_f00_k6,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/aigs/ex287_unknown_symcof_interleave_f00_k6.aig,1,1,1,2082,14,29148,3.210,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; classes=64; group_nodes=85:80:72:67:76:49:77:47:65:73:65:73:57:68:68:84:66:77:68:75:60:68:61:69:74:60:80:60:63:50:89:77:78:80:75:81:117:74:72:59:46:51:42:50:72:46:71:45:74:55:71:55:95:71:74:56:69:71:65:78:63:46:62:45; total_group_nodes=4312; hash=8b90a9dfacd4",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k3.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f10_k3.aig,1,1,1,1922,20,38440,6.537,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:14:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=8; group_nodes=416:387:392:387:390:325:390:343; total_group_nodes=3030; hash=2a46f39e746c",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f10_k4.aig,1,1,1,1938,18,34884,4.895,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=16; group_nodes=290:260:304:291:291:229:313:265:317:290:270:259:302:236:280:225; total_group_nodes=4422; hash=562c7b9c0c98",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k5,unknown_symmetry_cofactor_classonehot,interleave_f10_k5,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k5.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f10_k5.aig,1,1,1,2055,18,36990,4.757,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:14:1:13:2; inner_bits=3:4:5:6:7:8:9:10:11:12; classes=32; group_nodes=219:197:226:216:213:163:214:192:221:204:166:168:226:178:192:159:211:165:234:201:198:161:231:193:240:212:208:193:207:175:208:168; total_group_nodes=6359; hash=02798e1161c2",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k6,unknown_symmetry_cofactor_classonehot,interleave_f10_k6,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f10_k6.aig,1,1,1,2281,16,36496,5.110,"pairs=4:5,6:7,8:9; order=interleave; policy=f10; outer_bits=0:14:1:13:2:12; inner_bits=3:4:5:6:7:8:9:10:11; classes=64; group_nodes=173:164:156:164:169:131:144:131:140:139:114:128:148:118:132:121:133:141:133:147:141:128:130:127:152:126:146:137:134:112:155:121:149:141:126:130:159:115:133:114:119:143:112:137:129:127:142:128:145:126:130:137:148:114:164:123:125:166:115:166:125:123:153:134; total_group_nodes=8733; hash=53f0553df749",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f00_k3.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f00_k3.aig,1,1,1,1907,19,36233,4.619,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:14:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=8; group_nodes=375:343:352:341:351:288:340:295; total_group_nodes=2685; hash=b6adf4e5235f",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f00_k4.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f00_k4.aig,1,1,1,1937,18,34866,4.533,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; classes=16; group_nodes=255:230:266:252:253:194:263:217:276:247:231:217:266:204:235:187; total_group_nodes=3793; hash=d49d9016c1c3",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k5,unknown_symmetry_cofactor_classonehot,interleave_f00_k5,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f00_k5.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f00_k5.aig,1,1,1,2089,18,37602,4.483,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:14:1:13:2; inner_bits=3:4:5:6:7:8:9:10:11:12; classes=32; group_nodes=189:172:190:185:184:132:178:149:192:173:146:141:197:151:158:131:182:141:200:166:165:133:184:152:203:171:171:152:176:148:165:135; total_group_nodes=5312; hash=347646e5ed01",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k6,unknown_symmetry_cofactor_classonehot,interleave_f00_k6,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f00_k6.v,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/aigs/ex288_unknown_symcof_interleave_f00_k6.aig,1,1,1,2305,17,39185,4.807,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; outer_bits=0:14:1:13:2:12; inner_bits=3:4:5:6:7:8:9:10:11; classes=64; group_nodes=144:139:129:138:142:100:118:97:126:118:98:106:123:94:101:94:115:117:117:121:111:100:100:95:127:104:113:106:110:88:114:90:131:120:104:108:136:90:108:86:97:112:94:110:109:99:114:100:126:104:107:106:121:90:123:92:105:123:97:125:103:94:118:101; total_group_nodes=7048; hash=b9aed11e60fe",unknown symmetry cofactor class-onehot Verilog seed
