round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv
round83,frontend_radical_parallel_round83_20260613_2038,sub-fp8-logicmin-r83,ex246,ex246_r83_feature_bitpred_logicmin,1,353,24,8472,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex246/verilog/ex246_r83_feature_bitpred_logicmin.v,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex246/aigs/ex246_r83_feature_bitpred_logicmin.aig,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex246/logs/ex246_r83_feature_bitpred_logicmin.evaluate.py.log,OK,official_evaluate_status=OK; valid_features=978; invalid_shell_rows=1020; eval_runtime_sec=0.461; bit0:ones=204:zeros=774:cubes=30; bit1:ones=370:zeros=608:cubes=27; bit2:ones=412:zeros=566:cubes=21; bit3:ones=407:zeros=571:cubes=18; bit4:ones=407:zeros=571:cubes=21; bit5:ones=407:zeros=571:cubes=22; bit6:ones=328:zeros=650:cubes=7,student/frontend_campaigns/campaigns/frontend_radical_parallel_round83_20260613_2038/agent_shards/sub-fp8-logicmin-r83/evaluation_results.csv
round83,frontend_radical_parallel_round83_20260613_2038,sub-fp8-logicmin-r83,ex247,ex247_r83_feature_bitpred_logicmin,1,649,27,17523,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex247/verilog/ex247_r83_feature_bitpred_logicmin.v,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex247/aigs/ex247_r83_feature_bitpred_logicmin.aig,student/work/frontend_radical_parallel_round83_20260613_2038/sub-fp8-logicmin-r83/ex247/logs/ex247_r83_feature_bitpred_logicmin.evaluate.py.log,OK,official_evaluate_status=OK; valid_features=1967; invalid_shell_rows=1024; eval_runtime_sec=0.450; bit0:ones=486:zeros=1481:cubes=64; bit1:ones=905:zeros=1062:cubes=55; bit2:ones=960:zeros=1007:cubes=55; bit3:ones=955:zeros=1012:cubes=51; bit4:ones=953:zeros=1014:cubes=43; bit5:ones=953:zeros=1014:cubes=35; bit6:ones=965:zeros=1002:cubes=16,student/frontend_campaigns/campaigns/frontend_radical_parallel_round83_20260613_2038/agent_shards/sub-fp8-logicmin-r83/evaluation_results.csv
round83,frontend_radical_parallel_round83_20260613_2038,sub-mixed-hard-r83,ex260,ex260_r83_booth_compact_csa_abc_g_and,1,103,16,1648,student/work/frontend_radical_parallel_round83_20260613_2038/sub-mixed-hard-r83/ex260/verilog/ex260_r83_booth_compact_csa.v,student/work/frontend_radical_parallel_round83_20260613_2038/sub-mixed-hard-r83/ex260/aigs/ex260_r83_booth_compact_csa_abc_g_and.aig,student/runs/integer/frontend_radical_parallel_round83_20260613_2038/sub-mixed-hard-r83/ex260/official_logs/ex260_r83_booth_compact_csa_abc_g_and.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round83_20260613_2038/agent_shards/sub-mixed-hard-r83/evaluation_results.csv
