case,variant,notes
ex236,core_clamp_hi5,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,core_clamp_hi6,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,core_clamp_hi7,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex238,core_clamp_hi5,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero"
ex238,core_clamp_hi6,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero"
ex238,core_clamp_hi7,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero"
