case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10 + default + raw,sig-pair product-code table plus seed12 product-class completion,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10 + extra_share + raw,sig-pair product-code table plus seed12 product-class completion,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10 + abc_g_aig + raw,sig-pair product-code table plus seed12 product-class completion,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10 + synth_preset + raw,sig-pair product-code table plus seed12 product-class completion,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_possible_class + default + raw,reachable-product class only with shared product magnitude formula,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_possible_class + extra_share + raw,reachable-product class only with shared product magnitude formula,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_possible_class + abc_g_aig + raw,reachable-product class only with shared product magnitude formula,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_possible_class + synth_preset + raw,reachable-product class only with shared product magnitude formula,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_attr_shared + default + raw,product attribute table plus shared boundary/linear reassembly,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_attr_shared + extra_share + raw,product attribute table plus shared boundary/linear reassembly,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_attr_shared + abc_g_aig + raw,product attribute table plus shared boundary/linear reassembly,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_attr_shared + synth_preset + raw,product attribute table plus shared boundary/linear reassembly,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigpair_attr_shared + default + raw,significand-pair attribute table plus shared boundary/linear reassembly,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigpair_attr_shared + extra_share + raw,significand-pair attribute table plus shared boundary/linear reassembly,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigpair_attr_shared + abc_g_aig + raw,significand-pair attribute table plus shared boundary/linear reassembly,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigpair_attr_shared + synth_preset + raw,significand-pair attribute table plus shared boundary/linear reassembly,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_normsplit_attr + default + raw,normal/subnormal split attribute source,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_normsplit_attr + extra_share + raw,normal/subnormal split attribute source,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
