case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_hi2_resid_parallel_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+abc_g_aig,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_abc_g_aig.aig,1,1,1,196,21,4116,848,4.853774,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_parallel_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_wreduce_abc_g_aig.aig,1,1,1,193,22,4246,848,5.007075,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_parallel_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+synth_preset,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_synth_preset.aig,1,1,1,189,22,4158,848,4.903302,0,0,0.431,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=synth_preset
ex266,ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+synth_preset_d8,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d8.aig,1,1,1,189,22,4158,848,4.903302,0,0,0.409,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+synth_preset_d10,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d10.aig,1,1,1,189,22,4158,848,4.903302,0,0,0.409,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+synth_preset_d12,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_synth_preset_d12.aig,1,1,1,189,22,4158,848,4.903302,0,0,0.412,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=synth_preset_d12
ex266,ex266_udiv_ex266_hi2_resid_parallel_arith_wreduce_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_parallel+arith_wreduce_aig,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi2_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi2_resid_parallel_arith_wreduce_aig.aig,1,1,1,192,21,4032,848,4.754717,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_parallel; flow=arith_wreduce_aig
ex266,ex266_udiv_ex266_hi3_resid_parallel_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_parallel+abc_g_aig,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi3_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi3_resid_parallel_abc_g_aig.aig,1,1,1,142,22,3124,848,3.683962,0,0,0.279,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_parallel; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_parallel_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_parallel+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi3_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi3_resid_parallel_wreduce_abc_g_aig.aig,1,1,1,140,23,3220,848,3.797170,0,0,0.287,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_parallel; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_parallel_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_parallel+synth_preset,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi3_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi3_resid_parallel_synth_preset.aig,1,1,1,137,20,2740,848,3.231132,0,0,0.354,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_parallel; flow=synth_preset
ex266,ex266_udiv_ex266_hi3_resid_parallel_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_parallel+synth_preset_d8,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/verilog/ex266_udiv_ex266_hi3_resid_parallel.v,student/work/ex266_frontend_udiv_resid_parallel_20260609_0935/ex266/aigs/ex266_udiv_ex266_hi3_resid_parallel_synth_preset_d8.aig,1,1,1,137,20,2740,848,3.231132,0,0,0.352,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_parallel; flow=synth_preset_d8
